cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
all_olive,Alt Camp,2016,0,0.4700000000000002,1.124777777777778,2016,0
all_olive,Alt Camp,2017,1,0.512,0.2827777777777778,2017,1
all_olive,Alt Camp,2018,2,-0.5269999999999999,0.3247777777777776,2018,2
all_olive,Alt Camp,2020,4,-0.1079999999999998,0.7327777777777775,2020,3
all_olive,Alt Camp,2021,5,0.51,-0.2952222222222223,2021,4
all_olive,Alt Camp,2022,6,-0.8029999999999999,0.3227777777777776,2022,5
all_olive,Alt Camp,2023,7,-0.6009999999999999,-0.9902222222222224,2023,6
all_olive,Alt Camp,2024,8,-0.3729999999999999,-0.7882222222222223,2024,7
all_olive,Alt Empordà,2016,9,0.2026666666666665,-0.0246666666666666,2016,0
all_olive,Alt Empordà,2017,10,-0.0363333333333335,0.2653333333333334,2017,1
all_olive,Alt Empordà,2018,11,-0.1013333333333335,0.0263333333333333,2018,2
all_olive,Alt Empordà,2020,13,0.3916666666666664,0.3823333333333334,2020,3
all_olive,Alt Empordà,2021,14,-0.4113333333333335,0.4543333333333332,2021,4
all_olive,Alt Empordà,2022,15,-0.4113333333333335,-0.3486666666666667,2022,5
all_olive,Alt Empordà,2023,16,-0.4303333333333334,-0.3486666666666667,2023,6
all_olive,Alt Empordà,2024,17,0.4766666666666665,-0.3676666666666666,2024,7
all_olive,Alt Penedès,2016,18,-0.0608888888888888,0.4477777777777778,2016,0
all_olive,Alt Penedès,2017,19,0.7991111111111112,-0.1522222222222222,2017,1
all_olive,Alt Penedès,2018,20,0.0391111111111112,0.7077777777777778,2018,2
all_olive,Alt Penedès,2020,22,-0.0108888888888888,0.0577777777777778,2020,3
all_olive,Alt Penedès,2021,23,0.2391111111111111,-0.1022222222222222,2021,4
all_olive,Alt Penedès,2022,24,-0.3608888888888888,0.1477777777777777,2022,5
all_olive,Alt Penedès,2023,25,-0.5108888888888888,-0.4522222222222222,2023,6
all_olive,Alt Penedès,2024,26,-0.2828888888888888,-0.6022222222222222,2024,7
all_olive,Anoia,2016,27,-0.2531111111111111,-0.0277777777777777,2016,0
all_olive,Anoia,2017,28,0.3768888888888889,-0.2777777777777777,2017,1
all_olive,Anoia,2018,29,0.0968888888888889,0.3522222222222223,2018,2
all_olive,Anoia,2020,31,0.3168888888888889,0.0722222222222223,2020,3
all_olive,Anoia,2021,32,0.2968888888888888,0.2922222222222222,2021,4
all_olive,Anoia,2022,33,-0.2531111111111111,0.2722222222222222,2022,5
all_olive,Anoia,2023,34,-0.4531111111111111,-0.2777777777777777,2023,6
all_olive,Anoia,2024,35,-0.2251111111111111,-0.4777777777777777,2024,7
all_olive,Baix Camp,2016,36,0.2436666666666667,0.901888888888889,2016,0
all_olive,Baix Camp,2017,37,0.2856666666666665,0.0598888888888888,2017,1
all_olive,Baix Camp,2018,38,-0.9043333333333334,0.1018888888888887,2018,2
all_olive,Baix Camp,2020,40,0.3006666666666666,0.6098888888888887,2020,3
all_olive,Baix Camp,2021,41,0.3636666666666666,0.1168888888888888,2021,4
all_olive,Baix Camp,2022,42,-0.8233333333333334,0.1798888888888887,2022,5
all_olive,Baix Camp,2023,43,0.3086666666666666,-1.007111111111111,2023,6
all_olive,Baix Camp,2024,44,-0.5683333333333334,0.1248888888888888,2024,7
all_olive,Baix Ebre,2016,45,-0.0257777777777776,-0.4795555555555554,2016,0
all_olive,Baix Ebre,2017,46,-0.0507777777777778,-0.0655555555555553,2017,1
all_olive,Baix Ebre,2018,47,-0.2567777777777777,-0.0905555555555555,2018,2
all_olive,Baix Ebre,2020,49,0.2302222222222223,0.4594444444444445,2020,3
all_olive,Baix Ebre,2021,50,0.3882222222222222,0.1904444444444446,2021,4
all_olive,Baix Ebre,2022,51,-0.7127777777777777,0.3484444444444445,2022,5
all_olive,Baix Ebre,2023,52,0.7262222222222223,-0.7525555555555554,2023,6
all_olive,Baix Ebre,2024,53,-0.7977777777777777,0.6864444444444446,2024,7
all_olive,Baix Empordà,2016,54,0.2144444444444444,-0.1969999999999999,2016,0
all_olive,Baix Empordà,2017,55,-0.0245555555555556,0.3010000000000001,2017,1
all_olive,Baix Empordà,2018,56,0.1004444444444443,0.062,2018,2
all_olive,Baix Empordà,2020,58,0.4164444444444444,0.1140000000000001,2020,3
