,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.119,-0.176,0.206,0.003,0.002,1973.0,2976.0,1.0
beta0,-0.012,0.026,-0.055,0.031,0.0,0.0,4461.0,4586.0,1.0
beta1,-0.005,0.024,-0.041,0.033,0.0,0.001,3269.0,2095.0,1.0
beta_coefs[0],-0.012,0.026,-0.055,0.031,0.0,0.0,4461.0,4586.0,1.0
beta_coefs[1],-0.005,0.024,-0.041,0.033,0.0,0.001,3269.0,2095.0,1.0
beta_coefs[2],0.01,0.023,-0.025,0.049,0.0,0.0,3574.0,3224.0,1.0
beta_coefs[3],0.01,0.022,-0.025,0.043,0.0,0.001,4517.0,3353.0,1.0
beta_coefs[4],-0.008,0.03,-0.059,0.039,0.0,0.0,5130.0,4322.0,1.0
lag_coef,-0.259,0.071,-0.381,-0.147,0.001,0.001,5690.0,5177.0,1.0
rw2_innovations[0],0.008,0.059,-0.083,0.096,0.001,0.002,2849.0,1706.0,1.0
rw2_innovations[1],-0.015,0.052,-0.099,0.062,0.001,0.002,2845.0,2059.0,1.0
rw2_innovations[2],-0.018,0.058,-0.11,0.076,0.001,0.002,4122.0,2964.0,1.0
sigma,0.295,0.017,0.267,0.321,0.0,0.0,4816.0,4924.0,1.0
sigma_smooth,0.056,0.047,0.001,0.119,0.001,0.001,1043.0,1504.0,1.0
sigma_year,0.355,0.103,0.195,0.496,0.002,0.002,1908.0,3033.0,1.0
year_raw[0],0.657,0.412,-0.028,1.331,0.009,0.006,2214.0,3468.0,1.0
year_raw[1],0.845,0.43,0.156,1.564,0.01,0.006,2041.0,2894.0,1.0
year_raw[2],-0.339,0.398,-1.017,0.304,0.008,0.005,2426.0,3946.0,1.0
year_raw[3],0.735,0.425,0.049,1.426,0.009,0.006,2164.0,2906.0,1.0
year_raw[4],0.731,0.435,-0.012,1.413,0.009,0.006,2267.0,3473.0,1.0
year_raw[5],0.575,0.408,-0.095,1.24,0.009,0.006,2229.0,3128.0,1.0
year_raw[6],-1.667,0.547,-2.556,-0.764,0.012,0.007,2181.0,3441.0,1.0
year_raw[7],-0.57,0.438,-1.291,0.122,0.008,0.005,2799.0,3963.0,1.0
year_raw[8],-0.981,0.439,-1.702,-0.266,0.009,0.006,2348.0,3629.0,1.0
year_re[2016],0.219,0.136,-0.012,0.432,0.003,0.002,2401.0,3592.0,1.0
year_re[2017],0.28,0.134,0.067,0.498,0.003,0.002,2413.0,3621.0,1.0
year_re[2018],-0.112,0.137,-0.335,0.112,0.003,0.002,2429.0,3609.0,1.0
year_re[2019],0.243,0.135,0.022,0.46,0.003,0.002,2448.0,3634.0,1.0
year_re[2020],0.243,0.141,0.01,0.468,0.003,0.002,2430.0,3614.0,1.0
year_re[2021],0.191,0.136,-0.033,0.412,0.003,0.002,2412.0,3453.0,1.0
year_re[2022],-0.553,0.136,-0.787,-0.344,0.003,0.002,2379.0,3714.0,1.0
year_re[2023],-0.191,0.149,-0.428,0.057,0.003,0.002,2756.0,4017.0,1.0
year_re[2024],-0.325,0.133,-0.537,-0.109,0.003,0.002,2487.0,3555.0,1.0
