,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.042,0.029,-0.089,0.006,0.0,0.0,5085.0,4523.0,1.0
beta0,0.123,0.032,0.067,0.172,0.001,0.001,3766.0,3619.0,1.0
beta1,0.076,0.027,0.033,0.12,0.001,0.001,2529.0,2187.0,1.0
beta_coefs[0],0.123,0.032,0.067,0.172,0.001,0.001,3766.0,3619.0,1.0
beta_coefs[1],0.076,0.027,0.033,0.12,0.001,0.001,2529.0,2187.0,1.0
beta_coefs[2],0.024,0.027,-0.019,0.07,0.0,0.001,3842.0,3517.0,1.0
beta_coefs[3],-0.035,0.027,-0.077,0.008,0.0,0.001,3708.0,2744.0,1.0
beta_coefs[4],-0.108,0.035,-0.169,-0.054,0.001,0.001,4544.0,4340.0,1.0
rw2_innovations[0],-0.005,0.07,-0.122,0.103,0.002,0.002,2401.0,1868.0,1.0
rw2_innovations[1],-0.007,0.06,-0.112,0.077,0.001,0.002,3183.0,2340.0,1.0
rw2_innovations[2],-0.014,0.071,-0.131,0.095,0.001,0.002,3446.0,2329.0,1.0
sigma,0.354,0.021,0.319,0.389,0.0,0.0,5183.0,4731.0,1.0
sigma_smooth,0.062,0.05,0.001,0.132,0.002,0.001,806.0,1181.0,1.0
