,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.03,-0.047,0.05,0.0,0.0,4501.0,4336.0,1.0
beta0,0.122,0.036,0.065,0.181,0.001,0.001,2082.0,2902.0,1.0
beta1,0.042,0.031,-0.005,0.089,0.001,0.001,2327.0,2133.0,1.0
beta_coefs[0],0.122,0.036,0.065,0.181,0.001,0.001,2082.0,2902.0,1.0
beta_coefs[1],0.042,0.031,-0.005,0.089,0.001,0.001,2327.0,2133.0,1.0
beta_coefs[2],-0.009,0.03,-0.059,0.037,0.001,0.001,2772.0,2977.0,1.0
beta_coefs[3],-0.039,0.031,-0.085,0.01,0.001,0.001,3589.0,2059.0,1.0
beta_coefs[4],-0.076,0.036,-0.134,-0.016,0.001,0.001,5250.0,4912.0,1.0
rw2_innovations[0],0.029,0.08,-0.077,0.162,0.002,0.003,2282.0,1962.0,1.0
rw2_innovations[1],0.022,0.066,-0.077,0.132,0.001,0.002,3118.0,2069.0,1.0
rw2_innovations[2],-0.008,0.081,-0.133,0.121,0.002,0.003,3615.0,1996.0,1.0
sigma,0.383,0.022,0.346,0.418,0.0,0.0,4481.0,4709.0,1.0
sigma_smooth,0.067,0.053,0.001,0.139,0.002,0.001,709.0,798.0,1.0
