,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.107,-0.168,0.179,0.002,0.002,1982.0,2583.0,1.0
beta0,0.073,0.035,0.016,0.13,0.001,0.001,3353.0,3545.0,1.0
beta1,0.026,0.03,-0.022,0.071,0.001,0.001,2874.0,2179.0,1.0
beta_coefs[0],0.073,0.035,0.016,0.13,0.001,0.001,3353.0,3545.0,1.0
beta_coefs[1],0.026,0.03,-0.022,0.071,0.001,0.001,2874.0,2179.0,1.0
beta_coefs[2],-0.002,0.03,-0.053,0.042,0.0,0.001,4230.0,3634.0,1.0
beta_coefs[3],-0.013,0.027,-0.057,0.029,0.0,0.001,4345.0,2902.0,1.0
beta_coefs[4],-0.031,0.041,-0.094,0.039,0.001,0.001,6256.0,4940.0,1.0
lag_coef,-0.194,0.07,-0.308,-0.079,0.001,0.001,6067.0,5101.0,1.0
rw2_innovations[0],0.018,0.071,-0.09,0.137,0.001,0.002,2754.0,2128.0,1.0
rw2_innovations[1],0.018,0.064,-0.077,0.123,0.001,0.002,4038.0,2913.0,1.0
rw2_innovations[2],-0.007,0.075,-0.126,0.113,0.001,0.002,4670.0,2536.0,1.0
sigma,0.288,0.017,0.259,0.314,0.0,0.0,6147.0,5199.0,1.0
sigma_smooth,0.064,0.051,0.001,0.137,0.002,0.001,901.0,1411.0,1.0
sigma_year,0.311,0.091,0.173,0.444,0.002,0.002,2147.0,3684.0,1.0
year_raw[0],0.494,0.42,-0.208,1.165,0.009,0.006,2392.0,3259.0,1.0
year_raw[1],0.752,0.445,-0.021,1.448,0.01,0.006,2051.0,3110.0,1.0
year_raw[2],-0.148,0.434,-0.886,0.535,0.008,0.005,2841.0,4384.0,1.0
year_raw[3],1.168,0.514,0.31,1.998,0.012,0.007,1991.0,3357.0,1.0
year_raw[4],0.329,0.455,-0.396,1.075,0.009,0.005,2716.0,4186.0,1.0
year_raw[5],0.352,0.43,-0.35,1.056,0.009,0.006,2297.0,3632.0,1.0
year_raw[6],-1.735,0.573,-2.649,-0.797,0.011,0.006,2591.0,3990.0,1.0
year_raw[7],-0.265,0.434,-0.965,0.457,0.008,0.005,2790.0,4105.0,1.0
year_raw[8],-0.945,0.473,-1.714,-0.175,0.009,0.006,2919.0,4475.0,1.0
year_re[2016],0.144,0.125,-0.058,0.348,0.003,0.002,2535.0,3085.0,1.0
year_re[2017],0.219,0.126,-0.001,0.414,0.003,0.002,2486.0,3113.0,1.0
year_re[2018],-0.045,0.133,-0.269,0.166,0.003,0.002,2730.0,3737.0,1.0
year_re[2019],0.338,0.128,0.127,0.547,0.003,0.002,2559.0,3466.0,1.0
year_re[2020],0.096,0.137,-0.13,0.313,0.003,0.002,2728.0,3623.0,1.0
year_re[2021],0.103,0.13,-0.105,0.319,0.003,0.002,2369.0,3298.0,1.0
year_re[2022],-0.505,0.127,-0.704,-0.29,0.003,0.002,2582.0,3235.0,1.0
year_re[2023],-0.078,0.132,-0.296,0.133,0.003,0.002,2543.0,3392.0,1.0
year_re[2024],-0.277,0.133,-0.481,-0.054,0.003,0.002,2756.0,3884.0,1.0
