,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.028,0.047,-0.105,0.049,0.001,0.001,6191.0,5291.0,1.0
beta0,0.048,0.062,-0.053,0.148,0.001,0.001,4117.0,5154.0,1.0
beta1,0.052,0.052,-0.03,0.138,0.001,0.001,2852.0,2773.0,1.0
beta_coefs[0],0.048,0.062,-0.053,0.148,0.001,0.001,4117.0,5154.0,1.0
beta_coefs[1],0.052,0.052,-0.03,0.138,0.001,0.001,2852.0,2773.0,1.0
beta_coefs[2],0.045,0.06,-0.043,0.141,0.001,0.001,2642.0,3734.0,1.0
beta_coefs[3],-0.03,0.059,-0.116,0.067,0.001,0.001,2371.0,2469.0,1.0
beta_coefs[4],-0.237,0.097,-0.39,-0.075,0.002,0.001,2382.0,4233.0,1.0
rw2_innovations[0],-0.011,0.121,-0.203,0.191,0.003,0.003,2599.0,2001.0,1.0
rw2_innovations[1],-0.068,0.109,-0.251,0.092,0.002,0.002,3755.0,3335.0,1.0
rw2_innovations[2],-0.132,0.157,-0.385,0.073,0.004,0.004,2280.0,2228.0,1.0
sigma,0.432,0.037,0.372,0.489,0.001,0.0,4951.0,4859.0,1.0
sigma_smooth,0.12,0.067,0.004,0.212,0.002,0.001,1270.0,1248.0,1.0
