,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.043,-0.07,0.072,0.001,0.001,5494.0,4760.0,1.0
beta0,0.058,0.058,-0.039,0.154,0.001,0.001,4294.0,4700.0,1.0
beta1,0.058,0.05,-0.019,0.144,0.001,0.001,3357.0,3050.0,1.0
beta_coefs[0],0.058,0.058,-0.039,0.154,0.001,0.001,4294.0,4700.0,1.0
beta_coefs[1],0.058,0.05,-0.019,0.144,0.001,0.001,3357.0,3050.0,1.0
beta_coefs[2],0.046,0.056,-0.042,0.131,0.001,0.001,2889.0,4040.0,1.0
beta_coefs[3],-0.026,0.061,-0.117,0.069,0.001,0.002,2108.0,2286.0,1.0
beta_coefs[4],-0.248,0.091,-0.392,-0.099,0.002,0.001,2138.0,3833.0,1.0
rw2_innovations[0],-0.011,0.119,-0.201,0.186,0.002,0.003,3044.0,2608.0,1.0
rw2_innovations[1],-0.061,0.108,-0.237,0.107,0.002,0.003,3196.0,1854.0,1.0
rw2_innovations[2],-0.149,0.166,-0.399,0.076,0.004,0.005,1996.0,2246.0,1.0
sigma,0.413,0.033,0.362,0.471,0.0,0.0,4392.0,4343.0,1.0
sigma_smooth,0.124,0.068,0.003,0.216,0.002,0.001,1095.0,891.0,1.0
