,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.027,0.05,-0.052,0.115,0.001,0.001,5431.0,4854.0,1.0
beta0,-0.08,0.047,-0.16,-0.006,0.001,0.001,4647.0,4736.0,1.0
beta1,-0.034,0.046,-0.103,0.039,0.001,0.001,2696.0,1923.0,1.0
beta_coefs[0],-0.08,0.047,-0.16,-0.006,0.001,0.001,4647.0,4736.0,1.0
beta_coefs[1],-0.034,0.046,-0.103,0.039,0.001,0.001,2696.0,1923.0,1.0
beta_coefs[2],-0.017,0.035,-0.072,0.04,0.001,0.001,4806.0,3273.0,1.0
beta_coefs[3],0.003,0.039,-0.06,0.06,0.001,0.001,3052.0,2343.0,1.0
beta_coefs[4],0.037,0.058,-0.057,0.133,0.001,0.001,6649.0,5196.0,1.0
rw2_innovations[0],-0.029,0.087,-0.157,0.106,0.002,0.004,2525.0,1620.0,1.0
rw2_innovations[1],0.002,0.071,-0.115,0.103,0.002,0.004,3488.0,2115.0,1.0
rw2_innovations[2],0.014,0.081,-0.105,0.138,0.002,0.003,3291.0,2227.0,1.0
sigma,0.448,0.037,0.389,0.51,0.001,0.0,4896.0,4537.0,1.0
sigma_smooth,0.069,0.055,0.001,0.143,0.002,0.001,887.0,1289.0,1.01
