,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.046,-0.075,0.076,0.001,0.001,4550.0,5092.0,1.0
beta0,-0.09,0.044,-0.162,-0.015,0.001,0.001,4260.0,4761.0,1.0
beta1,-0.037,0.044,-0.106,0.032,0.001,0.001,2332.0,2044.0,1.0
beta_coefs[0],-0.09,0.044,-0.162,-0.015,0.001,0.001,4260.0,4761.0,1.0
beta_coefs[1],-0.037,0.044,-0.106,0.032,0.001,0.001,2332.0,2044.0,1.0
beta_coefs[2],-0.013,0.034,-0.068,0.04,0.001,0.001,3582.0,3063.0,1.0
beta_coefs[3],0.017,0.038,-0.039,0.075,0.001,0.002,2820.0,2217.0,1.0
beta_coefs[4],0.066,0.055,-0.028,0.155,0.001,0.001,6806.0,4980.0,1.0
rw2_innovations[0],-0.029,0.084,-0.164,0.088,0.002,0.003,2204.0,1810.0,1.0
rw2_innovations[1],0.006,0.069,-0.098,0.115,0.002,0.003,2982.0,2355.0,1.0
rw2_innovations[2],0.019,0.081,-0.103,0.143,0.002,0.005,3498.0,1952.0,1.0
sigma,0.443,0.035,0.386,0.5,0.001,0.0,4182.0,4219.0,1.0
sigma_smooth,0.066,0.054,0.001,0.143,0.002,0.001,718.0,991.0,1.01
