,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.047,-0.08,0.075,0.001,0.001,5130.0,5150.0,1.0
beta0,-0.022,0.08,-0.153,0.106,0.002,0.001,2425.0,3007.0,1.0
beta1,0.042,0.051,-0.036,0.119,0.001,0.001,2321.0,2384.0,1.0
beta_coefs[0],-0.022,0.08,-0.153,0.106,0.002,0.001,2425.0,3007.0,1.0
beta_coefs[1],0.042,0.051,-0.036,0.119,0.001,0.001,2321.0,2384.0,1.0
beta_coefs[2],0.03,0.054,-0.045,0.126,0.001,0.001,3019.0,3648.0,1.0
beta_coefs[3],-0.023,0.048,-0.099,0.053,0.001,0.001,5659.0,3819.0,1.0
beta_coefs[4],-0.064,0.065,-0.17,0.042,0.001,0.001,7294.0,6157.0,1.0
lag_coef,-0.099,0.101,-0.262,0.066,0.001,0.001,4714.0,4991.0,1.0
rw2_innovations[0],-0.075,0.122,-0.263,0.093,0.003,0.003,2119.0,2229.0,1.0
rw2_innovations[1],-0.042,0.094,-0.208,0.093,0.002,0.002,3974.0,3392.0,1.0
rw2_innovations[2],0.013,0.107,-0.163,0.178,0.002,0.003,4888.0,3115.0,1.0
sigma,0.448,0.035,0.392,0.506,0.0,0.0,5053.0,5219.0,1.0
sigma_smooth,0.094,0.064,0.003,0.184,0.002,0.001,965.0,1290.0,1.0
