,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.002,0.131,-0.208,0.214,0.003,0.002,1560.0,2517.0,1.0
beta0,0.04,0.056,-0.053,0.13,0.001,0.001,4350.0,4196.0,1.0
beta1,0.021,0.035,-0.035,0.077,0.001,0.001,3878.0,2571.0,1.0
beta_coefs[0],0.04,0.056,-0.053,0.13,0.001,0.001,4350.0,4196.0,1.0
beta_coefs[1],0.021,0.035,-0.035,0.077,0.001,0.001,3878.0,2571.0,1.0
beta_coefs[2],-0.008,0.04,-0.08,0.051,0.001,0.001,4560.0,3859.0,1.0
beta_coefs[3],-0.023,0.038,-0.085,0.035,0.001,0.001,4383.0,3498.0,1.0
beta_coefs[4],-0.023,0.05,-0.108,0.052,0.001,0.001,6753.0,5083.0,1.0
lag_coef,-0.157,0.095,-0.311,0.003,0.001,0.001,4939.0,5290.0,1.0
rw2_innovations[0],-0.01,0.079,-0.132,0.12,0.001,0.002,3401.0,2293.0,1.0
rw2_innovations[1],0.014,0.073,-0.104,0.132,0.001,0.002,4261.0,2681.0,1.0
rw2_innovations[2],0.015,0.082,-0.11,0.149,0.001,0.003,4794.0,3118.0,1.0
sigma,0.297,0.024,0.258,0.336,0.0,0.0,4970.0,4802.0,1.0
sigma_smooth,0.069,0.053,0.001,0.144,0.002,0.001,720.0,862.0,1.0
sigma_year,0.398,0.11,0.234,0.565,0.002,0.002,2062.0,3609.0,1.0
year_raw[0],0.699,0.44,-0.008,1.435,0.009,0.006,2171.0,3292.0,1.0
year_raw[1],0.84,0.443,0.133,1.595,0.01,0.006,2010.0,3107.0,1.0
year_raw[2],-0.422,0.417,-1.102,0.257,0.009,0.005,2240.0,2851.0,1.0
year_raw[3],0.948,0.46,0.159,1.656,0.01,0.006,1993.0,3499.0,1.0
year_raw[4],0.464,0.428,-0.229,1.148,0.009,0.006,2157.0,3282.0,1.0
year_raw[5],0.525,0.418,-0.105,1.253,0.009,0.006,2007.0,3410.0,1.0
year_raw[6],-1.704,0.558,-2.621,-0.8,0.012,0.007,2283.0,2723.0,1.0
year_raw[7],-0.393,0.451,-1.151,0.328,0.009,0.005,2403.0,3367.0,1.0
year_raw[8],-0.921,0.442,-1.646,-0.216,0.009,0.006,2258.0,2760.0,1.0
year_re[2016],0.263,0.164,0.001,0.535,0.004,0.002,2170.0,3352.0,1.0
year_re[2017],0.314,0.156,0.073,0.58,0.003,0.002,2139.0,3335.0,1.0
year_re[2018],-0.157,0.158,-0.398,0.115,0.004,0.002,2044.0,2709.0,1.0
year_re[2019],0.355,0.16,0.094,0.616,0.004,0.002,2103.0,3284.0,1.0
year_re[2020],0.175,0.163,-0.1,0.428,0.004,0.002,2136.0,3469.0,1.0
year_re[2021],0.197,0.156,-0.049,0.457,0.003,0.002,2066.0,3111.0,1.0
year_re[2022],-0.637,0.159,-0.904,-0.382,0.003,0.002,2145.0,3110.0,1.0
year_re[2023],-0.149,0.174,-0.455,0.117,0.004,0.002,2152.0,3431.0,1.0
year_re[2024],-0.345,0.156,-0.598,-0.1,0.003,0.002,2038.0,2872.0,1.0
