,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.005,0.135,-0.202,0.231,0.003,0.002,1567.0,3398.0,1.0
beta0,0.009,0.079,-0.123,0.132,0.002,0.001,1404.0,4113.0,1.0
beta1,-0.011,0.045,-0.082,0.062,0.001,0.001,1941.0,3811.0,1.0
beta_coefs[0],0.009,0.079,-0.123,0.132,0.002,0.001,1404.0,4113.0,1.0
beta_coefs[1],-0.011,0.045,-0.082,0.062,0.001,0.001,1941.0,3811.0,1.0
beta_coefs[2],-0.025,0.043,-0.094,0.044,0.001,0.001,3562.0,4118.0,1.0
beta_coefs[3],-0.02,0.036,-0.077,0.04,0.001,0.001,4914.0,4145.0,1.0
beta_coefs[4],0.003,0.052,-0.085,0.086,0.001,0.001,5316.0,4961.0,1.0
lag_coef,-0.155,0.096,-0.312,0.002,0.001,0.001,4358.0,5336.0,1.0
rw2_innovations[0],0.006,0.082,-0.116,0.148,0.001,0.002,4118.0,3072.0,1.01
rw2_innovations[1],0.018,0.077,-0.099,0.147,0.001,0.002,4334.0,3316.0,1.0
rw2_innovations[2],0.018,0.084,-0.1,0.17,0.001,0.002,5104.0,3235.0,1.0
sigma,0.298,0.024,0.26,0.338,0.0,0.0,5494.0,5131.0,1.0
sigma_smooth,0.072,0.055,0.001,0.148,0.002,0.001,365.0,123.0,1.01
sigma_year,0.403,0.118,0.225,0.575,0.003,0.002,1967.0,3732.0,1.0
year_raw[0],0.648,0.481,-0.157,1.389,0.015,0.007,900.0,727.0,1.01
year_raw[1],0.813,0.472,0.047,1.575,0.009,0.006,2986.0,4352.0,1.0
year_raw[2],-0.283,0.509,-1.121,0.532,0.009,0.007,3080.0,4114.0,1.0
year_raw[3],0.867,0.633,-0.164,1.858,0.019,0.008,1003.0,2290.0,1.01
year_raw[4],0.443,0.565,-0.451,1.411,0.011,0.008,2836.0,3097.0,1.0
year_raw[5],0.517,0.449,-0.196,1.268,0.008,0.007,2805.0,3851.0,1.0
year_raw[6],-1.602,0.559,-2.507,-0.703,0.011,0.006,2712.0,4113.0,1.0
year_raw[7],-0.543,0.503,-1.366,0.286,0.009,0.006,3175.0,4690.0,1.0
year_raw[8],-0.943,0.477,-1.768,-0.202,0.009,0.006,2938.0,4316.0,1.0
year_re[2016],0.24,0.175,-0.061,0.502,0.005,0.003,1034.0,656.0,1.0
year_re[2017],0.31,0.177,0.019,0.597,0.003,0.002,3249.0,4324.0,1.01
year_re[2018],-0.104,0.196,-0.417,0.22,0.004,0.003,2446.0,2734.0,1.0
year_re[2019],0.316,0.219,-0.041,0.669,0.006,0.003,1211.0,2344.0,1.0
year_re[2020],0.176,0.224,-0.194,0.532,0.004,0.003,2445.0,3097.0,1.0
year_re[2021],0.199,0.173,-0.099,0.467,0.003,0.002,2780.0,3748.0,1.0
year_re[2022],-0.609,0.185,-0.905,-0.313,0.006,0.002,1135.0,4452.0,1.0
year_re[2023],-0.208,0.193,-0.514,0.111,0.004,0.002,2766.0,4594.0,1.0
year_re[2024],-0.36,0.176,-0.627,-0.055,0.004,0.002,2422.0,4557.0,1.0
