,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.103,0.227,0.736,1.474,0.006,0.004,1387.0,2181.0,1.0
beta0,-0.051,0.043,-0.121,0.019,0.001,0.001,2574.0,2579.0,1.0
beta1,-0.02,0.038,-0.085,0.039,0.001,0.001,2087.0,1911.0,1.0
beta_coefs[0],-0.051,0.043,-0.121,0.019,0.001,0.001,2574.0,2579.0,1.0
beta_coefs[1],-0.02,0.038,-0.085,0.039,0.001,0.001,2087.0,1911.0,1.0
beta_coefs[2],0.021,0.04,-0.045,0.086,0.001,0.001,2419.0,2475.0,1.0
beta_coefs[3],0.039,0.042,-0.03,0.104,0.001,0.001,2181.0,1992.0,1.0
beta_coefs[4],0.018,0.063,-0.083,0.119,0.001,0.001,2019.0,2586.0,1.0
comarca_raw[0],-0.027,0.518,-0.902,0.798,0.011,0.008,2096.0,2268.0,1.0
comarca_raw[1],-0.951,0.556,-1.88,-0.073,0.013,0.01,1917.0,2342.0,1.0
comarca_raw[2],0.748,0.479,-0.048,1.481,0.011,0.008,1830.0,2259.0,1.0
comarca_raw[3],1.425,0.528,0.609,2.295,0.012,0.009,1892.0,2354.0,1.0
comarca_raw[4],-0.022,0.515,-0.793,0.886,0.012,0.009,1964.0,2656.0,1.0
comarca_raw[5],-0.69,0.507,-1.498,0.162,0.011,0.008,2227.0,2415.0,1.0
comarca_raw[6],-0.292,0.484,-1.043,0.509,0.011,0.009,1785.0,2561.0,1.0
comarca_raw[7],-0.636,0.571,-1.564,0.318,0.012,0.009,2236.0,2586.0,1.0
comarca_raw[8],1.439,0.55,0.599,2.373,0.012,0.011,1955.0,2287.0,1.0
comarca_raw[9],-0.652,0.503,-1.524,0.109,0.011,0.01,2023.0,2328.0,1.0
comarca_re[Alt Camp],-0.001,0.177,-0.292,0.292,0.004,0.003,2067.0,2595.0,1.0
comarca_re[Alt Penedès],-0.311,0.172,-0.584,-0.028,0.004,0.003,2034.0,2975.0,1.0
comarca_re[Baix Camp],0.253,0.163,-0.02,0.501,0.004,0.003,1695.0,2324.0,1.0
comarca_re[Baix Penedès],0.481,0.181,0.19,0.776,0.005,0.003,1586.0,2014.0,1.0
comarca_re[Conca de Barberà],-0.0,0.176,-0.266,0.308,0.004,0.003,1999.0,2699.0,1.0
comarca_re[Garrigues],-0.234,0.174,-0.534,0.031,0.004,0.003,2034.0,2509.0,1.0
comarca_re[Priorat],-0.098,0.162,-0.369,0.149,0.004,0.003,1825.0,2668.0,1.0
comarca_re[Segrià],-0.215,0.195,-0.539,0.093,0.004,0.003,2105.0,2976.0,1.0
comarca_re[Tarragonès],0.486,0.185,0.191,0.789,0.005,0.003,1627.0,2089.0,1.0
comarca_re[Urgell],-0.219,0.168,-0.489,0.049,0.004,0.003,1753.0,2503.0,1.0
lag_coef,-0.047,0.113,-0.237,0.126,0.003,0.002,1622.0,1769.0,1.0
rw2_innovations[0],0.011,0.075,-0.111,0.132,0.002,0.003,1874.0,1233.0,1.01
rw2_innovations[1],-0.024,0.07,-0.139,0.083,0.002,0.002,2062.0,1560.0,1.0
rw2_innovations[2],-0.038,0.086,-0.189,0.075,0.002,0.003,2035.0,1636.0,1.0
sigma,0.316,0.03,0.269,0.363,0.001,0.001,2204.0,2467.0,1.0
sigma_comarca,0.353,0.111,0.184,0.528,0.003,0.002,982.0,1432.0,1.01
sigma_smooth,0.072,0.054,0.002,0.147,0.002,0.001,619.0,583.0,1.01
sigma_year,0.402,0.117,0.244,0.592,0.003,0.002,1529.0,2390.0,1.0
year_raw[0],0.68,0.496,-0.183,1.44,0.012,0.007,1780.0,2676.0,1.0
year_raw[1],0.895,0.472,0.159,1.713,0.011,0.007,1822.0,2421.0,1.0
year_raw[2],-0.488,0.491,-1.32,0.271,0.011,0.007,1980.0,2560.0,1.0
year_raw[3],1.007,0.489,0.205,1.809,0.012,0.008,1558.0,2038.0,1.0
year_raw[4],0.559,0.505,-0.308,1.349,0.011,0.007,2006.0,2626.0,1.0
year_raw[5],0.505,0.457,-0.242,1.238,0.011,0.007,1823.0,2381.0,1.0
year_raw[6],-1.674,0.601,-2.615,-0.64,0.015,0.009,1657.0,2433.0,1.0
year_raw[7],-0.165,0.507,-0.981,0.671,0.012,0.008,1694.0,2287.0,1.0
year_raw[8],-0.833,0.474,-1.589,-0.025,0.011,0.007,1770.0,2635.0,1.0
year_re[2016],0.261,0.193,-0.054,0.57,0.005,0.003,1735.0,2480.0,1.0
year_re[2017],0.342,0.18,0.072,0.652,0.004,0.003,1733.0,2568.0,1.0
year_re[2018],-0.183,0.19,-0.494,0.119,0.004,0.003,1906.0,2543.0,1.0
year_re[2019],0.382,0.178,0.088,0.673,0.004,0.003,1623.0,2691.0,1.0
year_re[2020],0.213,0.195,-0.101,0.532,0.004,0.003,1962.0,2836.0,1.0
year_re[2021],0.193,0.18,-0.106,0.474,0.004,0.003,1736.0,2211.0,1.0
year_re[2022],-0.626,0.173,-0.906,-0.347,0.004,0.003,1800.0,2528.0,1.0
year_re[2023],-0.062,0.199,-0.393,0.253,0.005,0.003,1646.0,2038.0,1.0
year_re[2024],-0.311,0.17,-0.585,-0.029,0.004,0.003,1772.0,2504.0,1.0
