,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.114,0.225,0.759,1.491,0.006,0.004,1349.0,2208.0,1.0
beta0,-0.052,0.043,-0.119,0.019,0.001,0.001,2635.0,3040.0,1.0
beta1,-0.022,0.037,-0.082,0.036,0.001,0.001,1715.0,1516.0,1.0
beta_coefs[0],-0.052,0.043,-0.119,0.019,0.001,0.001,2635.0,3040.0,1.0
beta_coefs[1],-0.022,0.037,-0.082,0.036,0.001,0.001,1715.0,1516.0,1.0
beta_coefs[2],0.021,0.041,-0.039,0.092,0.001,0.001,2075.0,2236.0,1.0
beta_coefs[3],0.04,0.041,-0.032,0.101,0.001,0.001,2112.0,2481.0,1.0
beta_coefs[4],0.021,0.063,-0.077,0.125,0.001,0.001,2449.0,2289.0,1.0
comarca_raw[0],-0.026,0.509,-0.797,0.856,0.012,0.008,1946.0,2313.0,1.0
comarca_raw[1],-0.944,0.55,-1.747,0.04,0.013,0.009,1910.0,2170.0,1.0
comarca_raw[2],0.74,0.459,-0.002,1.49,0.01,0.007,1999.0,2540.0,1.0
comarca_raw[3],1.417,0.514,0.627,2.31,0.012,0.008,1774.0,2459.0,1.0
comarca_raw[4],-0.027,0.495,-0.844,0.775,0.011,0.008,2031.0,2091.0,1.0
comarca_raw[5],-0.681,0.5,-1.556,0.087,0.012,0.008,1857.0,2410.0,1.0
comarca_raw[6],-0.294,0.465,-1.072,0.426,0.012,0.008,1584.0,2267.0,1.0
comarca_raw[7],-0.629,0.559,-1.55,0.286,0.012,0.009,1996.0,2489.0,1.0
comarca_raw[8],1.44,0.516,0.545,2.242,0.012,0.008,1922.0,2487.0,1.0
comarca_raw[9],-0.648,0.48,-1.418,0.147,0.011,0.008,1904.0,2475.0,1.0
comarca_re[Alt Camp],-0.002,0.179,-0.278,0.293,0.004,0.003,2019.0,2734.0,1.0
comarca_re[Alt Penedès],-0.316,0.174,-0.583,-0.023,0.004,0.003,2007.0,2793.0,1.0
comarca_re[Baix Camp],0.256,0.16,0.004,0.515,0.004,0.002,1861.0,2676.0,1.0
comarca_re[Baix Penedès],0.489,0.176,0.211,0.783,0.004,0.003,1737.0,2231.0,1.0
comarca_re[Conca de Barberà],-0.003,0.177,-0.298,0.28,0.004,0.003,2030.0,2167.0,1.0
comarca_re[Garrigues],-0.235,0.175,-0.519,0.046,0.004,0.003,1784.0,2595.0,1.0
comarca_re[Priorat],-0.101,0.16,-0.35,0.164,0.004,0.003,1667.0,2323.0,1.0
comarca_re[Segrià],-0.216,0.192,-0.525,0.106,0.004,0.003,1902.0,2556.0,1.0
comarca_re[Tarragonès],0.497,0.179,0.196,0.781,0.004,0.003,1663.0,2282.0,1.0
comarca_re[Urgell],-0.222,0.165,-0.485,0.049,0.004,0.003,1892.0,2397.0,1.0
lag_coef,-0.053,0.113,-0.227,0.141,0.003,0.002,1671.0,2000.0,1.0
rw2_innovations[0],0.014,0.076,-0.101,0.129,0.002,0.004,1750.0,1106.0,1.0
rw2_innovations[1],-0.025,0.071,-0.142,0.072,0.002,0.003,2127.0,1471.0,1.0
rw2_innovations[2],-0.037,0.083,-0.173,0.082,0.002,0.003,2492.0,1872.0,1.0
sigma,0.314,0.028,0.268,0.359,0.001,0.0,2366.0,2716.0,1.0
sigma_comarca,0.361,0.112,0.194,0.532,0.003,0.003,1139.0,1668.0,1.0
sigma_smooth,0.071,0.054,0.001,0.146,0.002,0.001,649.0,931.0,1.0
sigma_year,0.41,0.123,0.223,0.579,0.003,0.003,1233.0,1991.0,1.0
year_raw[0],0.655,0.474,-0.137,1.41,0.011,0.007,1956.0,2249.0,1.0
year_raw[1],0.872,0.463,0.152,1.647,0.011,0.007,1889.0,2482.0,1.0
year_raw[2],-0.494,0.48,-1.27,0.306,0.012,0.007,1678.0,2156.0,1.0
year_raw[3],0.971,0.484,0.167,1.738,0.013,0.009,1462.0,1728.0,1.0
year_raw[4],0.555,0.493,-0.269,1.348,0.012,0.007,1720.0,2603.0,1.0
year_raw[5],0.483,0.449,-0.271,1.186,0.011,0.007,1678.0,2656.0,1.0
year_raw[6],-1.668,0.589,-2.641,-0.725,0.015,0.01,1528.0,1861.0,1.0
year_raw[7],-0.178,0.494,-0.961,0.648,0.012,0.008,1577.0,2171.0,1.0
year_raw[8],-0.829,0.458,-1.528,-0.034,0.011,0.008,1658.0,2314.0,1.0
year_re[2016],0.257,0.191,-0.062,0.56,0.005,0.003,1824.0,2159.0,1.0
year_re[2017],0.338,0.177,0.058,0.624,0.004,0.003,1830.0,2465.0,1.0
year_re[2018],-0.188,0.187,-0.482,0.127,0.005,0.003,1603.0,2325.0,1.0
year_re[2019],0.374,0.176,0.097,0.665,0.004,0.003,1581.0,2153.0,1.0
year_re[2020],0.215,0.193,-0.073,0.557,0.005,0.003,1656.0,2520.0,1.0
year_re[2021],0.188,0.179,-0.111,0.475,0.004,0.003,1670.0,2589.0,1.0
year_re[2022],-0.634,0.168,-0.904,-0.359,0.004,0.003,1740.0,2479.0,1.0
year_re[2023],-0.07,0.195,-0.396,0.242,0.005,0.003,1507.0,2243.0,1.0
year_re[2024],-0.316,0.168,-0.595,-0.051,0.004,0.003,1558.0,2431.0,1.0
