,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.018,0.154,-0.224,0.274,0.004,0.003,1768.0,2521.0,1.0
beta0,-0.061,0.038,-0.125,-0.002,0.001,0.0,4592.0,4686.0,1.0
beta1,-0.03,0.032,-0.077,0.024,0.001,0.001,3561.0,2464.0,1.0
beta_coefs[0],-0.061,0.038,-0.125,-0.002,0.001,0.0,4592.0,4686.0,1.0
beta_coefs[1],-0.03,0.032,-0.077,0.024,0.001,0.001,3561.0,2464.0,1.0
beta_coefs[2],0.016,0.036,-0.037,0.073,0.001,0.001,3247.0,3153.0,1.0
beta_coefs[3],0.023,0.032,-0.022,0.077,0.001,0.001,4514.0,3942.0,1.0
beta_coefs[4],-0.013,0.048,-0.091,0.06,0.001,0.001,3404.0,5490.0,1.0
lag_coef,-0.187,0.094,-0.35,-0.04,0.001,0.001,5315.0,4928.0,1.0
rw2_innovations[0],0.015,0.081,-0.112,0.139,0.002,0.003,3124.0,2070.0,1.0
rw2_innovations[1],-0.038,0.074,-0.16,0.07,0.001,0.002,3342.0,2706.0,1.0
rw2_innovations[2],-0.043,0.085,-0.186,0.078,0.001,0.002,4823.0,3844.0,1.0
sigma,0.275,0.024,0.234,0.312,0.0,0.0,4800.0,4843.0,1.0
sigma_smooth,0.077,0.054,0.002,0.152,0.001,0.001,1254.0,1283.0,1.0
sigma_year,0.432,0.125,0.249,0.627,0.003,0.002,2290.0,4046.0,1.0
year_raw[0],0.683,0.441,-0.041,1.403,0.009,0.005,2444.0,3914.0,1.0
year_raw[1],0.706,0.431,0.039,1.442,0.01,0.005,1936.0,3702.0,1.0
year_raw[2],0.764,0.447,-0.004,1.455,0.01,0.006,1941.0,3447.0,1.0
year_raw[3],0.611,0.448,-0.133,1.34,0.009,0.006,2355.0,3751.0,1.0
year_raw[4],0.45,0.416,-0.215,1.145,0.009,0.005,2219.0,3897.0,1.0
year_raw[5],-1.686,0.578,-2.655,-0.767,0.012,0.007,2402.0,3636.0,1.0
year_raw[6],-0.548,0.483,-1.343,0.238,0.01,0.006,2556.0,4386.0,1.0
year_raw[7],-0.925,0.462,-1.69,-0.181,0.009,0.006,2363.0,3148.0,1.0
year_re[2016],0.28,0.184,-0.023,0.573,0.004,0.002,2454.0,3397.0,1.0
year_re[2017],0.287,0.174,-0.007,0.556,0.004,0.002,2094.0,3730.0,1.0
year_re[2019],0.309,0.176,0.024,0.604,0.004,0.002,2060.0,3488.0,1.0
year_re[2020],0.25,0.186,-0.056,0.552,0.004,0.002,2425.0,3469.0,1.0
year_re[2021],0.184,0.176,-0.092,0.479,0.004,0.002,2244.0,3753.0,1.0
year_re[2022],-0.679,0.173,-0.958,-0.392,0.004,0.002,2211.0,3845.0,1.0
year_re[2023],-0.225,0.201,-0.537,0.119,0.004,0.003,2327.0,4002.0,1.0
year_re[2024],-0.373,0.175,-0.665,-0.093,0.004,0.002,2124.0,3310.0,1.0
