,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.082,0.207,-0.411,0.266,0.005,0.003,1976.0,3171.0,1.0
beta0,0.216,0.107,0.041,0.386,0.002,0.001,3129.0,3794.0,1.0
beta1,0.085,0.068,-0.024,0.2,0.001,0.001,3309.0,4040.0,1.0
beta_coefs[0],0.216,0.107,0.041,0.386,0.002,0.001,3129.0,3794.0,1.0
beta_coefs[1],0.085,0.068,-0.024,0.2,0.001,0.001,3309.0,4040.0,1.0
beta_coefs[2],-0.013,0.066,-0.124,0.083,0.001,0.001,3181.0,2883.0,1.0
beta_coefs[3],-0.066,0.049,-0.149,0.01,0.001,0.001,6229.0,4652.0,1.0
beta_coefs[4],-0.096,0.109,-0.269,0.076,0.002,0.002,3044.0,3246.0,1.0
lag_coef,-0.027,0.108,-0.205,0.155,0.002,0.001,4930.0,5130.0,1.0
rw2_innovations[0],0.033,0.103,-0.113,0.216,0.002,0.003,3440.0,2606.0,1.0
rw2_innovations[1],0.045,0.105,-0.101,0.226,0.002,0.003,4234.0,2901.0,1.0
rw2_innovations[2],0.022,0.106,-0.142,0.195,0.002,0.003,4906.0,2741.0,1.0
sigma,0.647,0.056,0.552,0.734,0.001,0.001,5149.0,5450.0,1.0
sigma_smooth,0.088,0.062,0.003,0.175,0.002,0.001,903.0,1320.0,1.0
sigma_year,0.615,0.17,0.359,0.888,0.003,0.002,2532.0,4705.0,1.0
year_raw[0],0.241,0.483,-0.582,1.006,0.009,0.006,3060.0,3753.0,1.0
year_raw[1],0.834,0.511,0.006,1.664,0.01,0.006,2715.0,4406.0,1.0
year_raw[2],-0.092,0.533,-0.977,0.754,0.009,0.007,3154.0,4334.0,1.0
year_raw[3],-0.7,0.59,-1.717,0.216,0.01,0.007,3202.0,4580.0,1.0
year_raw[4],-0.027,0.57,-0.94,0.939,0.01,0.007,3020.0,4198.0,1.0
year_raw[5],-1.937,0.605,-2.951,-0.993,0.011,0.007,2992.0,4251.0,1.0
year_raw[6],0.642,0.58,-0.31,1.594,0.01,0.006,3261.0,4721.0,1.0
year_raw[7],0.862,0.56,-0.049,1.782,0.01,0.007,3257.0,4556.0,1.0
year_re[2016],0.137,0.284,-0.345,0.581,0.005,0.003,3008.0,4461.0,1.0
year_re[2017],0.485,0.286,0.011,0.945,0.005,0.003,2985.0,4405.0,1.0
year_re[2018],-0.057,0.314,-0.579,0.44,0.006,0.004,3152.0,5082.0,1.0
year_re[2020],-0.421,0.355,-1.025,0.142,0.007,0.004,2691.0,4675.0,1.0
year_re[2021],-0.016,0.336,-0.599,0.504,0.006,0.004,2967.0,4428.0,1.0
year_re[2022],-1.128,0.291,-1.577,-0.621,0.006,0.003,2590.0,4298.0,1.0
year_re[2023],0.38,0.344,-0.183,0.946,0.006,0.004,3212.0,4617.0,1.0
year_re[2024],0.505,0.322,-0.009,1.038,0.006,0.003,3173.0,4566.0,1.0
