,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.001,0.132,-0.209,0.217,0.003,0.002,1899.0,2911.0,1.0
beta0,-0.045,0.037,-0.106,0.014,0.001,0.0,4095.0,4526.0,1.0
beta1,-0.022,0.032,-0.07,0.031,0.001,0.001,3081.0,2226.0,1.0
beta_coefs[0],-0.045,0.037,-0.106,0.014,0.001,0.0,4095.0,4526.0,1.0
beta_coefs[1],-0.022,0.032,-0.07,0.031,0.001,0.001,3081.0,2226.0,1.0
beta_coefs[2],0.014,0.034,-0.036,0.073,0.001,0.001,3889.0,3665.0,1.0
beta_coefs[3],0.02,0.03,-0.025,0.071,0.001,0.001,3925.0,3932.0,1.0
beta_coefs[4],-0.013,0.045,-0.091,0.057,0.001,0.0,3672.0,5506.0,1.0
lag_coef,-0.158,0.097,-0.323,-0.002,0.001,0.001,5147.0,5482.0,1.0
rw2_innovations[0],0.013,0.076,-0.098,0.141,0.002,0.002,2681.0,2134.0,1.0
rw2_innovations[1],-0.029,0.07,-0.14,0.075,0.001,0.002,3791.0,2616.0,1.0
rw2_innovations[2],-0.039,0.08,-0.181,0.068,0.001,0.002,3897.0,3724.0,1.0
sigma,0.294,0.024,0.255,0.333,0.0,0.0,4973.0,4878.0,1.0
sigma_smooth,0.071,0.053,0.001,0.144,0.001,0.001,1224.0,1581.0,1.0
sigma_year,0.402,0.114,0.232,0.57,0.003,0.002,1835.0,3158.0,1.0
year_raw[0],0.708,0.443,-0.042,1.394,0.009,0.005,2486.0,4040.0,1.0
year_raw[1],0.8,0.436,0.049,1.481,0.01,0.006,2013.0,3284.0,1.0
year_raw[2],-0.38,0.423,-1.078,0.313,0.008,0.005,2534.0,4089.0,1.0
year_raw[3],0.9,0.465,0.123,1.637,0.01,0.006,2180.0,3410.0,1.0
year_raw[4],0.579,0.447,-0.18,1.291,0.009,0.005,2611.0,3987.0,1.0
year_raw[5],0.529,0.418,-0.129,1.23,0.009,0.005,2164.0,3550.0,1.0
year_raw[6],-1.718,0.56,-2.63,-0.81,0.012,0.007,2365.0,4469.0,1.0
year_raw[7],-0.472,0.474,-1.264,0.279,0.009,0.006,2656.0,3710.0,1.0
year_raw[8],-0.929,0.447,-1.654,-0.203,0.009,0.006,2432.0,3971.0,1.0
year_re[2016],0.27,0.168,-0.002,0.539,0.003,0.002,2646.0,4040.0,1.0
year_re[2017],0.303,0.158,0.048,0.561,0.003,0.002,2391.0,3669.0,1.0
year_re[2018],-0.143,0.162,-0.406,0.123,0.003,0.002,2578.0,3805.0,1.0
year_re[2019],0.339,0.162,0.087,0.612,0.003,0.002,2564.0,3596.0,1.0
year_re[2020],0.22,0.17,-0.06,0.494,0.003,0.002,2662.0,3975.0,1.0
year_re[2021],0.201,0.158,-0.053,0.463,0.003,0.002,2467.0,3530.0,1.0
year_re[2022],-0.649,0.16,-0.914,-0.395,0.003,0.002,2609.0,3839.0,1.0
year_re[2023],-0.182,0.184,-0.475,0.123,0.004,0.002,2545.0,4175.0,1.0
year_re[2024],-0.351,0.157,-0.606,-0.096,0.003,0.002,2545.0,4087.0,1.0
