,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.002,0.202,-0.344,0.322,0.004,0.003,2078.0,3202.0,1.0
beta0,0.107,0.106,-0.062,0.282,0.002,0.001,2443.0,3724.0,1.0
beta1,0.027,0.068,-0.082,0.14,0.001,0.001,2714.0,3755.0,1.0
beta_coefs[0],0.107,0.106,-0.062,0.282,0.002,0.001,2443.0,3724.0,1.0
beta_coefs[1],0.027,0.068,-0.082,0.14,0.001,0.001,2714.0,3755.0,1.0
beta_coefs[2],-0.021,0.067,-0.134,0.08,0.001,0.001,2902.0,3133.0,1.0
beta_coefs[3],-0.028,0.049,-0.107,0.05,0.001,0.001,5362.0,3701.0,1.0
beta_coefs[4],-0.017,0.105,-0.196,0.138,0.002,0.002,3299.0,3313.0,1.0
lag_coef,-0.169,0.1,-0.34,-0.007,0.001,0.001,4989.0,4743.0,1.0
rw2_innovations[0],0.033,0.108,-0.134,0.207,0.002,0.003,3284.0,2395.0,1.0
rw2_innovations[1],0.04,0.104,-0.11,0.218,0.002,0.002,3753.0,3198.0,1.0
rw2_innovations[2],0.019,0.106,-0.155,0.189,0.002,0.003,5228.0,2577.0,1.0
sigma,0.684,0.056,0.593,0.774,0.001,0.001,4957.0,5128.0,1.0
sigma_smooth,0.088,0.063,0.002,0.175,0.002,0.001,970.0,1603.0,1.0
sigma_year,0.625,0.162,0.37,0.872,0.003,0.002,2488.0,3823.0,1.0
year_raw[0],0.366,0.487,-0.446,1.138,0.008,0.006,3745.0,5063.0,1.0
year_raw[1],0.834,0.499,0.004,1.634,0.009,0.006,3421.0,4457.0,1.0
year_raw[2],-0.424,0.528,-1.284,0.433,0.009,0.006,3284.0,4871.0,1.0
year_raw[3],1.125,0.562,0.216,2.043,0.01,0.007,3097.0,4547.0,1.0
year_raw[4],-0.385,0.572,-1.333,0.543,0.01,0.007,3255.0,4702.0,1.0
year_raw[5],0.103,0.572,-0.816,1.046,0.01,0.008,3209.0,4584.0,1.0
year_raw[6],-2.086,0.602,-3.054,-1.104,0.011,0.007,3194.0,4454.0,1.0
year_raw[7],0.063,0.538,-0.774,0.978,0.009,0.007,3206.0,3985.0,1.0
year_raw[8],0.423,0.515,-0.411,1.279,0.009,0.006,3219.0,4860.0,1.0
year_re[2016],0.218,0.289,-0.258,0.683,0.005,0.003,3678.0,4735.0,1.0
year_re[2017],0.498,0.291,0.001,0.959,0.005,0.003,3699.0,4811.0,1.0
year_re[2018],-0.258,0.319,-0.783,0.261,0.006,0.003,3004.0,5000.0,1.0
year_re[2019],0.675,0.328,0.132,1.192,0.006,0.004,2896.0,4877.0,1.0
year_re[2020],-0.238,0.35,-0.804,0.33,0.006,0.004,3155.0,4556.0,1.0
year_re[2021],0.065,0.343,-0.472,0.651,0.006,0.004,3182.0,4595.0,1.0
year_re[2022],-1.245,0.302,-1.728,-0.74,0.005,0.003,3295.0,5236.0,1.0
year_re[2023],0.042,0.322,-0.492,0.576,0.006,0.004,3136.0,4569.0,1.0
year_re[2024],0.255,0.309,-0.269,0.747,0.006,0.003,3003.0,5056.0,1.0
