,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.081,0.05,-0.002,0.164,0.001,0.001,5517.0,4932.0,1.0
beta0,0.131,0.063,0.024,0.227,0.001,0.001,2358.0,4480.0,1.0
beta1,0.009,0.046,-0.071,0.078,0.001,0.001,2984.0,3332.0,1.0
beta_coefs[0],0.131,0.063,0.024,0.227,0.001,0.001,2358.0,4480.0,1.0
beta_coefs[1],0.009,0.046,-0.071,0.078,0.001,0.001,2984.0,3332.0,1.0
beta_coefs[2],-0.075,0.057,-0.161,0.017,0.001,0.001,2137.0,4162.0,1.0
beta_coefs[3],-0.061,0.049,-0.141,0.015,0.001,0.001,4132.0,3252.0,1.0
beta_coefs[4],0.042,0.071,-0.08,0.151,0.001,0.001,2704.0,5082.0,1.0
rw2_innovations[0],0.039,0.12,-0.159,0.229,0.002,0.003,2740.0,2685.0,1.0
rw2_innovations[1],0.098,0.11,-0.053,0.289,0.002,0.002,2863.0,3165.0,1.0
rw2_innovations[2],0.089,0.13,-0.102,0.304,0.002,0.003,3889.0,2786.0,1.0
sigma,0.427,0.039,0.365,0.491,0.001,0.001,4869.0,4600.0,1.0
sigma_smooth,0.12,0.06,0.014,0.209,0.001,0.001,1453.0,1438.0,1.0
