,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.083,0.04,0.017,0.149,0.001,0.001,5042.0,4401.0,1.0
beta0,0.084,0.039,0.018,0.144,0.001,0.001,3517.0,3838.0,1.0
beta1,0.034,0.029,-0.011,0.08,0.001,0.001,3031.0,2588.0,1.0
beta_coefs[0],0.084,0.039,0.018,0.144,0.001,0.001,3517.0,3838.0,1.0
beta_coefs[1],0.034,0.029,-0.011,0.08,0.001,0.001,3031.0,2588.0,1.0
beta_coefs[2],-0.007,0.03,-0.054,0.044,0.0,0.001,4660.0,3138.0,1.0
beta_coefs[3],-0.037,0.029,-0.085,0.007,0.001,0.001,3914.0,1927.0,1.0
beta_coefs[4],-0.07,0.041,-0.135,-0.001,0.001,0.001,6184.0,4716.0,1.0
rw2_innovations[0],0.009,0.073,-0.097,0.133,0.001,0.002,2670.0,2261.0,1.01
rw2_innovations[1],0.01,0.062,-0.086,0.112,0.001,0.002,3716.0,2467.0,1.0
rw2_innovations[2],-0.002,0.074,-0.115,0.119,0.001,0.003,3824.0,1851.0,1.0
sigma,0.36,0.03,0.311,0.408,0.0,0.0,4642.0,4543.0,1.0
sigma_smooth,0.063,0.051,0.0,0.135,0.002,0.001,777.0,1119.0,1.01
