,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.043,-0.067,0.075,0.001,0.001,5246.0,4868.0,1.0
beta0,0.119,0.047,0.04,0.192,0.001,0.001,2500.0,3348.0,1.0
beta1,0.04,0.033,-0.011,0.093,0.001,0.001,3366.0,3068.0,1.0
beta_coefs[0],0.119,0.047,0.04,0.192,0.001,0.001,2500.0,3348.0,1.0
beta_coefs[1],0.04,0.033,-0.011,0.093,0.001,0.001,3366.0,3068.0,1.0
beta_coefs[2],-0.022,0.038,-0.085,0.034,0.001,0.001,2662.0,3339.0,1.0
beta_coefs[3],-0.049,0.034,-0.102,0.005,0.001,0.001,3761.0,2970.0,1.0
beta_coefs[4],-0.053,0.051,-0.134,0.027,0.001,0.001,2837.0,4096.0,1.0
rw2_innovations[0],0.017,0.085,-0.11,0.162,0.002,0.003,3053.0,2612.0,1.0
rw2_innovations[1],0.034,0.076,-0.071,0.165,0.002,0.002,3254.0,2414.0,1.0
rw2_innovations[2],0.024,0.088,-0.118,0.16,0.002,0.003,3583.0,2325.0,1.0
sigma,0.414,0.033,0.362,0.466,0.0,0.0,4462.0,4388.0,1.0
sigma_smooth,0.077,0.055,0.002,0.153,0.002,0.001,515.0,208.0,1.01
