,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.044,-0.075,0.07,0.001,0.001,6236.0,5335.0,1.0
beta0,0.148,0.063,0.045,0.249,0.001,0.001,2338.0,3891.0,1.0
beta1,-0.043,0.058,-0.14,0.043,0.001,0.001,2029.0,2779.0,1.0
beta_coefs[0],0.148,0.063,0.045,0.249,0.001,0.001,2338.0,3891.0,1.0
beta_coefs[1],-0.043,0.058,-0.14,0.043,0.001,0.001,2029.0,2779.0,1.0
beta_coefs[2],-0.095,0.054,-0.182,-0.012,0.001,0.001,3254.0,4204.0,1.0
beta_coefs[3],-0.034,0.069,-0.145,0.077,0.001,0.001,2741.0,5446.0,1.0
lag_coef,-0.121,0.098,-0.285,0.036,0.001,0.001,5237.0,4664.0,1.0
rw2_innovations[0],0.14,0.145,-0.062,0.375,0.003,0.003,2107.0,2403.0,1.0
rw2_innovations[1],0.113,0.143,-0.077,0.374,0.002,0.002,3498.0,3877.0,1.0
sigma,0.416,0.034,0.358,0.467,0.0,0.0,5171.0,5019.0,1.0
sigma_smooth,0.133,0.07,0.008,0.229,0.002,0.001,1612.0,1675.0,1.0
