,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.001,0.046,-0.075,0.077,0.001,0.001,6584.0,5248.0,1.0
beta0,-0.001,0.05,-0.082,0.082,0.001,0.001,2661.0,3969.0,1.0
beta1,-0.049,0.035,-0.108,0.004,0.001,0.001,2573.0,2258.0,1.0
beta_coefs[0],-0.001,0.05,-0.082,0.082,0.001,0.001,2661.0,3969.0,1.0
beta_coefs[1],-0.049,0.035,-0.108,0.004,0.001,0.001,2573.0,2258.0,1.0
beta_coefs[2],-0.052,0.041,-0.12,0.008,0.001,0.001,3104.0,3603.0,1.0
beta_coefs[3],0.002,0.037,-0.055,0.064,0.001,0.001,4286.0,3187.0,1.0
beta_coefs[4],0.039,0.051,-0.039,0.128,0.001,0.001,6614.0,5287.0,1.0
lag_coef,-0.098,0.102,-0.269,0.067,0.002,0.001,4627.0,4611.0,1.0
rw2_innovations[0],0.044,0.089,-0.08,0.199,0.002,0.003,2252.0,2088.0,1.0
rw2_innovations[1],0.058,0.086,-0.065,0.196,0.002,0.002,2847.0,2394.0,1.0
rw2_innovations[2],-0.018,0.098,-0.181,0.131,0.002,0.003,3702.0,2646.0,1.0
sigma,0.443,0.035,0.386,0.499,0.0,0.0,5829.0,4888.0,1.0
sigma_smooth,0.088,0.057,0.003,0.166,0.002,0.001,1185.0,1696.0,1.0
