,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.201,-0.334,0.32,0.004,0.003,2508.0,3233.0,1.0
beta0,0.106,0.105,-0.061,0.281,0.002,0.001,2489.0,3903.0,1.0
beta1,0.027,0.069,-0.085,0.14,0.001,0.001,2697.0,3171.0,1.0
beta_coefs[0],0.106,0.105,-0.061,0.281,0.002,0.001,2489.0,3903.0,1.0
beta_coefs[1],0.027,0.069,-0.085,0.14,0.001,0.001,2697.0,3171.0,1.0
beta_coefs[2],-0.02,0.065,-0.127,0.077,0.001,0.001,3040.0,3545.0,1.0
beta_coefs[3],-0.028,0.049,-0.107,0.05,0.001,0.001,6099.0,4752.0,1.0
beta_coefs[4],-0.018,0.103,-0.188,0.143,0.002,0.002,3388.0,3759.0,1.0
lag_coef,-0.17,0.099,-0.335,-0.01,0.001,0.001,5444.0,5348.0,1.0
rw2_innovations[0],0.032,0.105,-0.126,0.207,0.002,0.003,3794.0,2236.0,1.01
rw2_innovations[1],0.039,0.101,-0.116,0.2,0.002,0.003,3888.0,3008.0,1.0
rw2_innovations[2],0.019,0.105,-0.141,0.197,0.002,0.003,5115.0,3248.0,1.0
sigma,0.684,0.055,0.591,0.773,0.001,0.001,5233.0,5387.0,1.0
sigma_smooth,0.085,0.061,0.002,0.172,0.002,0.001,928.0,1406.0,1.0
sigma_year,0.623,0.163,0.359,0.865,0.003,0.002,2730.0,3864.0,1.0
year_raw[0],0.377,0.485,-0.372,1.205,0.008,0.006,3583.0,4646.0,1.0
year_raw[1],0.835,0.498,0.019,1.63,0.009,0.006,3444.0,4467.0,1.0
year_raw[2],-0.439,0.53,-1.295,0.433,0.008,0.006,3960.0,4794.0,1.0
year_raw[3],1.121,0.55,0.271,2.045,0.01,0.007,3232.0,4556.0,1.0
year_raw[4],-0.392,0.57,-1.326,0.519,0.01,0.006,3107.0,4647.0,1.0
year_raw[5],0.106,0.581,-0.883,1.004,0.01,0.008,3188.0,4121.0,1.0
year_raw[6],-2.097,0.605,-3.037,-1.081,0.011,0.007,3289.0,4180.0,1.0
year_raw[7],0.054,0.544,-0.866,0.914,0.009,0.006,3928.0,5052.0,1.0
year_raw[8],0.418,0.517,-0.422,1.276,0.009,0.006,3511.0,5334.0,1.0
year_re[2016],0.223,0.289,-0.257,0.682,0.005,0.003,3735.0,4673.0,1.0
year_re[2017],0.496,0.287,0.043,0.975,0.004,0.003,4069.0,4255.0,1.0
year_re[2018],-0.266,0.317,-0.778,0.257,0.005,0.003,3976.0,4421.0,1.0
year_re[2019],0.671,0.322,0.172,1.213,0.006,0.004,3309.0,4535.0,1.0
year_re[2020],-0.24,0.348,-0.801,0.339,0.006,0.004,3107.0,3765.0,1.0
year_re[2021],0.065,0.347,-0.512,0.621,0.006,0.004,3157.0,4116.0,1.0
year_re[2022],-1.245,0.295,-1.722,-0.761,0.005,0.003,3762.0,5051.0,1.0
year_re[2023],0.039,0.326,-0.503,0.566,0.005,0.003,3901.0,5042.0,1.0
year_re[2024],0.25,0.309,-0.267,0.743,0.005,0.003,3455.0,4988.0,1.0
