,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.005,0.2,-0.339,0.322,0.004,0.003,2112.0,3207.0,1.0
beta0,-0.023,0.071,-0.142,0.09,0.001,0.001,4850.0,4953.0,1.0
beta1,-0.014,0.049,-0.092,0.067,0.001,0.001,3962.0,4188.0,1.0
beta_coefs[0],-0.023,0.071,-0.142,0.09,0.001,0.001,4850.0,4953.0,1.0
beta_coefs[1],-0.014,0.049,-0.092,0.067,0.001,0.001,3962.0,4188.0,1.0
beta_coefs[2],0.004,0.05,-0.074,0.088,0.001,0.001,5913.0,4514.0,1.0
beta_coefs[3],0.005,0.044,-0.067,0.073,0.001,0.001,5938.0,4445.0,1.0
beta_coefs[4],-0.017,0.073,-0.132,0.104,0.001,0.001,5759.0,5366.0,1.0
lag_coef,-0.178,0.099,-0.335,-0.012,0.001,0.001,4840.0,4907.0,1.0
rw2_innovations[0],0.01,0.086,-0.122,0.154,0.001,0.003,3908.0,2925.0,1.0
rw2_innovations[1],-0.017,0.082,-0.155,0.11,0.001,0.002,5210.0,3697.0,1.0
rw2_innovations[2],-0.024,0.093,-0.183,0.102,0.001,0.002,5594.0,3663.0,1.0
sigma,0.688,0.056,0.603,0.784,0.001,0.001,5512.0,4901.0,1.0
sigma_smooth,0.075,0.055,0.002,0.154,0.002,0.001,940.0,1981.0,1.0
sigma_year,0.637,0.159,0.396,0.895,0.003,0.002,2728.0,4519.0,1.0
year_raw[0],0.457,0.488,-0.391,1.199,0.008,0.006,3404.0,4462.0,1.0
year_raw[1],0.901,0.482,0.117,1.685,0.009,0.005,3031.0,4968.0,1.0
year_raw[2],-0.607,0.477,-1.365,0.195,0.008,0.006,3733.0,4953.0,1.0
year_raw[3],0.968,0.491,0.15,1.744,0.008,0.006,3549.0,4802.0,1.0
year_raw[4],-0.177,0.499,-0.966,0.66,0.008,0.006,3515.0,4609.0,1.0
year_raw[5],0.445,0.471,-0.309,1.242,0.008,0.006,3434.0,4416.0,1.0
year_raw[6],-2.19,0.607,-3.152,-1.177,0.01,0.006,3440.0,4532.0,1.0
year_raw[7],-0.024,0.525,-0.867,0.833,0.009,0.006,3792.0,4858.0,1.0
year_raw[8],0.285,0.448,-0.472,0.99,0.008,0.005,3416.0,4901.0,1.0
year_re[2016],0.278,0.294,-0.185,0.764,0.005,0.003,3462.0,4386.0,1.0
year_re[2017],0.551,0.284,0.097,1.027,0.005,0.003,3241.0,5342.0,1.0
year_re[2018],-0.373,0.291,-0.842,0.112,0.005,0.003,3563.0,4583.0,1.0
year_re[2019],0.591,0.286,0.109,1.048,0.005,0.003,3970.0,4858.0,1.0
year_re[2020],-0.11,0.304,-0.608,0.38,0.005,0.003,3300.0,4826.0,1.0
year_re[2021],0.273,0.287,-0.198,0.741,0.005,0.003,3488.0,4189.0,1.0
year_re[2022],-1.334,0.292,-1.804,-0.857,0.005,0.003,3226.0,4706.0,1.0
year_re[2023],-0.013,0.324,-0.55,0.506,0.005,0.004,3594.0,4762.0,1.0
year_re[2024],0.172,0.273,-0.296,0.592,0.005,0.003,3465.0,4913.0,1.0
