,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.001,0.129,-0.203,0.217,0.003,0.002,2434.0,1990.0,1.0
beta0,0.067,0.058,-0.028,0.159,0.001,0.001,3745.0,5075.0,1.0
beta1,0.033,0.039,-0.028,0.097,0.001,0.001,3958.0,4177.0,1.0
beta_coefs[0],0.067,0.058,-0.028,0.159,0.001,0.001,3745.0,5075.0,1.0
beta_coefs[1],0.033,0.039,-0.028,0.097,0.001,0.001,3958.0,4177.0,1.0
beta_coefs[2],0.008,0.035,-0.05,0.063,0.001,0.001,4302.0,3892.0,1.0
beta_coefs[3],-0.002,0.029,-0.052,0.042,0.0,0.001,5931.0,4165.0,1.0
beta_coefs[4],-0.013,0.032,-0.065,0.036,0.001,0.001,3964.0,3512.0,1.0
beta_coefs[5],-0.044,0.063,-0.146,0.06,0.001,0.001,5189.0,3882.0,1.0
lag_coef,-0.15,0.097,-0.307,0.01,0.001,0.001,5941.0,5294.0,1.0
rw2_innovations[0],0.009,0.068,-0.094,0.123,0.001,0.002,5343.0,3095.0,1.01
rw2_innovations[1],0.014,0.063,-0.083,0.112,0.001,0.002,4598.0,2812.0,1.0
rw2_innovations[2],-0.001,0.061,-0.11,0.088,0.001,0.002,5061.0,3105.0,1.0
rw2_innovations[3],-0.02,0.075,-0.145,0.086,0.001,0.002,4134.0,2957.0,1.0
sigma,0.296,0.024,0.256,0.335,0.0,0.0,5699.0,4460.0,1.0
sigma_smooth,0.059,0.049,0.001,0.126,0.002,0.001,610.0,604.0,1.01
sigma_year,0.386,0.115,0.223,0.56,0.002,0.002,2218.0,3781.0,1.0
year_raw[0],0.718,0.463,-0.041,1.458,0.009,0.005,2906.0,2859.0,1.0
year_raw[1],0.698,0.462,-0.046,1.444,0.009,0.005,2961.0,4345.0,1.0
year_raw[2],-0.255,0.486,-1.046,0.532,0.01,0.008,2296.0,1265.0,1.0
year_raw[3],1.342,0.572,0.382,2.241,0.01,0.007,3043.0,4446.0,1.0
year_raw[4],-0.095,0.568,-0.983,0.854,0.011,0.008,2679.0,1120.0,1.0
year_raw[5],0.229,0.507,-0.604,1.049,0.01,0.008,2783.0,2230.0,1.0
year_raw[6],-1.592,0.557,-2.496,-0.668,0.01,0.007,2998.0,2185.0,1.0
year_raw[7],-0.374,0.502,-1.235,0.439,0.008,0.007,3732.0,2744.0,1.0
year_raw[8],-0.638,0.533,-1.516,0.216,0.009,0.007,3620.0,4723.0,1.0
year_re[2016],0.26,0.163,-0.015,0.516,0.003,0.003,3073.0,2711.0,1.0
year_re[2017],0.253,0.165,-0.019,0.518,0.003,0.002,3266.0,2535.0,1.0
year_re[2018],-0.095,0.18,-0.381,0.215,0.003,0.002,2828.0,1365.0,1.0
year_re[2019],0.486,0.186,0.187,0.794,0.003,0.002,3322.0,4502.0,1.0
year_re[2020],-0.036,0.213,-0.384,0.308,0.004,0.003,2826.0,2188.0,1.0
year_re[2021],0.086,0.189,-0.217,0.397,0.004,0.004,2767.0,2123.0,1.0
year_re[2022],-0.577,0.168,-0.855,-0.304,0.003,0.002,2781.0,2642.0,1.0
year_re[2023],-0.135,0.186,-0.426,0.182,0.003,0.003,3502.0,2593.0,1.0
year_re[2024],-0.229,0.191,-0.537,0.087,0.003,0.003,3659.0,4827.0,1.0
