,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.001,0.135,-0.208,0.224,0.004,0.003,1264.0,1123.0,1.0
beta0,-0.059,0.044,-0.129,0.013,0.001,0.001,3743.0,4225.0,1.0
beta1,-0.005,0.038,-0.067,0.055,0.001,0.001,2877.0,3437.0,1.0
beta_coefs[0],-0.059,0.044,-0.129,0.013,0.001,0.001,3743.0,4225.0,1.0
beta_coefs[1],-0.005,0.038,-0.067,0.055,0.001,0.001,2877.0,3437.0,1.0
beta_coefs[2],0.024,0.038,-0.034,0.085,0.001,0.001,3432.0,3335.0,1.0
beta_coefs[3],0.004,0.047,-0.072,0.08,0.001,0.001,3682.0,4068.0,1.0
lag_coef,-0.15,0.096,-0.302,0.011,0.001,0.001,4647.0,4822.0,1.0
rw2_innovations[0],-0.026,0.091,-0.18,0.107,0.002,0.003,2677.0,2657.0,1.0
rw2_innovations[1],-0.048,0.098,-0.221,0.088,0.002,0.002,3376.0,2401.0,1.0
sigma,0.294,0.024,0.254,0.334,0.0,0.0,5075.0,4830.0,1.0
sigma_smooth,0.084,0.06,0.002,0.168,0.001,0.001,1049.0,723.0,1.01
sigma_year,0.395,0.113,0.218,0.552,0.002,0.002,2106.0,3465.0,1.0
year_raw[0],0.682,0.453,-0.081,1.39,0.011,0.006,1861.0,3570.0,1.0
year_raw[1],0.81,0.446,0.057,1.525,0.011,0.006,1824.0,2642.0,1.0
year_raw[2],-0.385,0.428,-1.09,0.288,0.009,0.005,2165.0,3406.0,1.0
year_raw[3],0.906,0.46,0.1,1.617,0.01,0.005,2001.0,4097.0,1.0
year_raw[4],0.582,0.458,-0.15,1.337,0.01,0.006,2097.0,3771.0,1.0
year_raw[5],0.502,0.425,-0.199,1.18,0.009,0.005,2009.0,4043.0,1.0
year_raw[6],-1.751,0.567,-2.643,-0.795,0.012,0.007,2088.0,1381.0,1.0
year_raw[7],-0.393,0.47,-1.169,0.373,0.01,0.006,2016.0,1828.0,1.0
year_raw[8],-0.926,0.452,-1.68,-0.205,0.01,0.007,1982.0,1307.0,1.0
year_re[2016],0.255,0.169,-0.026,0.525,0.004,0.003,1714.0,1226.0,1.0
year_re[2017],0.301,0.161,0.046,0.567,0.004,0.004,1643.0,1181.0,1.0
year_re[2018],-0.143,0.164,-0.421,0.108,0.004,0.002,1993.0,3323.0,1.0
year_re[2019],0.336,0.162,0.074,0.603,0.004,0.002,1803.0,1262.0,1.0
year_re[2020],0.216,0.17,-0.052,0.504,0.004,0.002,1986.0,2463.0,1.0
year_re[2021],0.186,0.16,-0.072,0.44,0.004,0.002,1906.0,3901.0,1.0
year_re[2022],-0.65,0.16,-0.915,-0.392,0.004,0.002,1828.0,1774.0,1.0
year_re[2023],-0.149,0.18,-0.453,0.141,0.004,0.002,1800.0,1274.0,1.0
year_re[2024],-0.344,0.16,-0.617,-0.098,0.004,0.003,1817.0,1277.0,1.0
