cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code,comarca_code
arbequina,Alt Camp,2016,0,1.6,2.442,2016,0,0
arbequina,Alt Camp,2017,1,1.642,1.6,2017,1,0
arbequina,Alt Camp,2018,2,0.603,1.642,2018,2,0
arbequina,Alt Camp,2019,3,2.05,0.603,2019,3,0
arbequina,Alt Camp,2020,4,1.022,2.05,2020,4,0
arbequina,Alt Camp,2021,5,1.64,1.022,2021,5,0
arbequina,Alt Camp,2022,6,0.327,1.64,2022,6,0
arbequina,Alt Camp,2023,7,0.529,0.327,2023,7,0
arbequina,Alt Camp,2024,8,0.757,0.529,2024,8,0
arbequina,Alt Penedès,2016,9,0.7,1.3,2016,0,1
arbequina,Alt Penedès,2017,10,1.56,0.7,2017,1,1
arbequina,Alt Penedès,2018,11,0.8,1.56,2018,2,1
arbequina,Alt Penedès,2019,12,0.91,0.8,2019,3,1
arbequina,Alt Penedès,2020,13,0.75,0.91,2020,4,1
arbequina,Alt Penedès,2021,14,1.0,0.75,2021,5,1
arbequina,Alt Penedès,2022,15,0.4,1.0,2022,6,1
arbequina,Alt Penedès,2023,16,0.25,0.4,2023,7,1
arbequina,Alt Penedès,2024,17,0.478,0.25,2024,8,1
arbequina,Baix Camp,2016,18,1.6,2.442,2016,0,2
arbequina,Baix Camp,2017,19,1.642,1.6,2017,1,2
arbequina,Baix Camp,2018,20,0.452,1.642,2018,2,2
arbequina,Baix Camp,2019,21,2.15,0.452,2019,3,2
arbequina,Baix Camp,2020,22,1.657,2.15,2020,4,2
arbequina,Baix Camp,2021,23,1.72,1.657,2021,5,2
arbequina,Baix Camp,2022,24,0.533,1.72,2022,6,2
arbequina,Baix Camp,2023,25,1.665,0.533,2023,7,2
arbequina,Baix Camp,2024,26,0.788,1.665,2024,8,2
arbequina,Baix Penedès,2016,27,1.6,2.442,2016,0,3
arbequina,Baix Penedès,2017,28,1.942,1.6,2017,1,3
arbequina,Baix Penedès,2018,29,0.891,1.942,2018,2,3
arbequina,Baix Penedès,2019,30,2.085,0.891,2019,3,3
arbequina,Baix Penedès,2020,31,1.817,2.085,2020,4,3
arbequina,Baix Penedès,2021,32,1.668,1.817,2021,5,3
arbequina,Baix Penedès,2022,33,0.533,1.668,2022,6,3
arbequina,Baix Penedès,2023,34,2.283,0.533,2023,7,3
arbequina,Baix Penedès,2024,35,1.14,2.283,2024,8,3
arbequina,Conca de Barberà,2016,36,1.6,2.442,2016,0,4
arbequina,Conca de Barberà,2017,37,1.642,1.6,2017,1,4
arbequina,Conca de Barberà,2018,38,1.432,1.642,2018,2,4
arbequina,Conca de Barberà,2019,39,1.6,1.432,2019,3,4
arbequina,Conca de Barberà,2020,40,1.045,1.6,2020,4,4
arbequina,Conca de Barberà,2021,41,1.314,1.045,2021,5,4
arbequina,Conca de Barberà,2022,42,0.338,1.314,2022,6,4
arbequina,Conca de Barberà,2023,43,0.696,0.338,2023,7,4
arbequina,Conca de Barberà,2024,44,0.679,0.696,2024,8,4
arbequina,Garrigues,2016,45,0.82,0.79,2016,0,5
arbequina,Garrigues,2017,46,0.96,0.82,2017,1,5
