cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
arbequina,Alt Penedès,2022,76,-0.3608888888888888,0.1477777777777777,2022,6
arbequina,Alt Penedès,2023,77,-0.5108888888888888,-0.4522222222222222,2023,7
arbequina,Baix Camp,2022,78,-0.8233333333333334,0.1798888888888887,2022,6
arbequina,Baix Camp,2023,79,0.3086666666666666,-1.007111111111111,2023,7
arbequina,Baix Penedès,2017,80,0.391,-0.0956666666666665,2017,1
arbequina,Baix Penedès,2018,81,-0.6599999999999999,0.2463333333333333,2018,2
arbequina,Baix Penedès,2019,82,0.534,-0.8046666666666666,2019,3
arbequina,Baix Penedès,2020,83,0.266,0.3893333333333333,2020,4
arbequina,Baix Penedès,2022,84,-1.0179999999999998,-0.0276666666666667,2022,6
arbequina,Baix Penedès,2023,85,0.732,-1.1626666666666663,2023,7
arbequina,Baix Penedès,2024,86,-0.411,0.5873333333333333,2024,8
arbequina,Garrigues,2017,87,0.1502222222222221,0.0196666666666667,2017,1
arbequina,Garrigues,2022,88,-0.3117777777777778,0.0296666666666667,2022,6
arbequina,Garrigues,2023,89,-0.0847777777777778,-0.3023333333333332,2023,7
arbequina,Priorat,2022,90,-0.6561111111111111,0.1936666666666666,2022,6
arbequina,Segrià,2016,91,0.0043333333333333,-0.0206666666666667,2016,0
arbequina,Segrià,2017,92,0.1343333333333333,-0.0006666666666667,2017,1
arbequina,Segrià,2018,93,0.0343333333333333,0.1293333333333333,2018,2
arbequina,Segrià,2019,94,0.0743333333333332,0.0293333333333333,2019,3
arbequina,Segrià,2020,95,0.1443333333333333,0.0693333333333332,2020,4
arbequina,Segrià,2021,96,0.0843333333333332,0.1393333333333333,2021,5
arbequina,Segrià,2022,97,-0.3606666666666667,0.0793333333333332,2022,6
arbequina,Segrià,2023,98,-0.0546666666666667,-0.3656666666666667,2023,7
arbequina,Segrià,2024,99,-0.0606666666666667,-0.0596666666666667,2024,8
arbequina,Tarragonès,2016,100,0.0654444444444446,0.7324444444444447,2016,0
arbequina,Tarragonès,2017,101,0.1074444444444444,-0.1095555555555554,2017,1
arbequina,Tarragonès,2018,102,-0.3285555555555555,-0.0675555555555555,2018,2
arbequina,Tarragonès,2019,103,0.8204444444444445,-0.5035555555555555,2019,3
arbequina,Tarragonès,2020,104,0.2024444444444446,0.6454444444444445,2020,4
arbequina,Tarragonès,2021,105,0.3494444444444444,0.0274444444444446,2021,5
arbequina,Tarragonès,2022,106,-1.1965555555555554,0.1744444444444444,2022,6
arbequina,Tarragonès,2023,107,0.6474444444444445,-1.3715555555555554,2023,7
arbequina,Tarragonès,2024,108,-0.6675555555555555,0.4724444444444444,2024,8
arbequina,Urgell,2017,109,0.1695555555555555,0.1195555555555555,2017,1
arbequina,Urgell,2022,110,-0.4284444444444444,0.0995555555555556,2022,6
arbequina,Urgell,2023,111,-0.0984444444444444,-0.4584444444444444,2023,7
