,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.126,-0.204,0.203,0.003,0.002,2466.0,3493.0,1.0
beta0,0.08,0.056,-0.01,0.17,0.001,0.001,3942.0,4074.0,1.0
beta1,0.036,0.039,-0.026,0.1,0.001,0.001,3418.0,3232.0,1.0
beta_coefs[0],0.08,0.056,-0.01,0.17,0.001,0.001,3942.0,4074.0,1.0
beta_coefs[1],0.036,0.039,-0.026,0.1,0.001,0.001,3418.0,3232.0,1.0
beta_coefs[2],0.001,0.04,-0.065,0.062,0.001,0.001,4487.0,3531.0,1.0
beta_coefs[3],-0.015,0.031,-0.067,0.033,0.0,0.001,4981.0,3614.0,1.0
beta_coefs[4],-0.027,0.059,-0.118,0.069,0.001,0.001,5411.0,4383.0,1.0
lag_coef,-0.146,0.095,-0.301,0.009,0.001,0.001,5755.0,5118.0,1.0
rw2_innovations[0],0.008,0.079,-0.116,0.14,0.001,0.002,3491.0,2498.0,1.0
rw2_innovations[1],0.019,0.075,-0.09,0.145,0.001,0.002,4264.0,2485.0,1.0
rw2_innovations[2],0.004,0.084,-0.115,0.152,0.001,0.002,4952.0,2918.0,1.0
sigma,0.297,0.024,0.259,0.335,0.0,0.0,6069.0,5308.0,1.0
sigma_smooth,0.071,0.053,0.001,0.144,0.001,0.001,1231.0,1920.0,1.0
sigma_year,0.367,0.107,0.198,0.515,0.002,0.002,2740.0,4049.0,1.0
year_raw[0],0.611,0.459,-0.165,1.357,0.008,0.005,3417.0,4926.0,1.0
year_raw[1],0.784,0.459,0.035,1.539,0.008,0.005,3169.0,4521.0,1.0
year_raw[2],-0.192,0.475,-0.989,0.574,0.008,0.005,3246.0,4832.0,1.0
year_raw[3],1.348,0.564,0.448,2.284,0.01,0.006,3314.0,4513.0,1.0
year_raw[4],0.056,0.532,-0.779,0.945,0.009,0.006,3513.0,4784.0,1.0
year_raw[5],0.086,0.535,-0.826,0.939,0.009,0.007,3576.0,4213.0,1.0
year_raw[6],-1.633,0.568,-2.537,-0.706,0.011,0.007,2896.0,3926.0,1.0
year_raw[7],-0.317,0.496,-1.121,0.496,0.008,0.006,3483.0,4522.0,1.0
year_raw[8],-0.761,0.498,-1.585,0.035,0.009,0.006,3431.0,4843.0,1.0
year_re[2016],0.212,0.161,-0.058,0.466,0.003,0.002,3348.0,4864.0,1.0
year_re[2017],0.271,0.158,0.02,0.528,0.003,0.002,3241.0,4449.0,1.0
year_re[2018],-0.069,0.17,-0.352,0.205,0.003,0.002,3200.0,4057.0,1.0
year_re[2019],0.463,0.171,0.196,0.754,0.003,0.002,3580.0,4750.0,1.0
year_re[2020],0.019,0.19,-0.276,0.341,0.003,0.002,3452.0,4338.0,1.0
year_re[2021],0.033,0.189,-0.273,0.352,0.003,0.002,3585.0,4192.0,1.0
year_re[2022],-0.562,0.158,-0.815,-0.303,0.003,0.002,3124.0,4727.0,1.0
year_re[2023],-0.108,0.175,-0.391,0.176,0.003,0.002,3523.0,4717.0,1.0
year_re[2024],-0.262,0.17,-0.545,0.003,0.003,0.002,3526.0,4508.0,1.0
