,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.05,0.144,-0.283,0.176,0.003,0.003,3163.0,3472.0,1.0
beta0,-0.085,0.071,-0.206,0.027,0.001,0.001,4121.0,3755.0,1.0
beta1,-0.031,0.051,-0.115,0.05,0.001,0.001,3911.0,3939.0,1.0
beta_coefs[0],-0.085,0.071,-0.206,0.027,0.001,0.001,4121.0,3755.0,1.0
beta_coefs[1],-0.031,0.051,-0.115,0.05,0.001,0.001,3911.0,3939.0,1.0
beta_coefs[2],0.019,0.049,-0.06,0.099,0.001,0.001,5690.0,5426.0,1.0
beta_coefs[3],0.067,0.057,-0.025,0.162,0.001,0.001,5999.0,5400.0,1.0
beta_coefs[4],0.126,0.087,-0.017,0.264,0.001,0.001,5811.0,5794.0,1.0
lag_coef,-0.536,0.306,-1.009,-0.024,0.007,0.004,1980.0,3986.0,1.0
rw2_innovations[0],-0.005,0.077,-0.123,0.121,0.001,0.002,4475.0,2798.0,1.0
rw2_innovations[1],-0.001,0.07,-0.11,0.116,0.001,0.002,4560.0,2959.0,1.0
rw2_innovations[2],0.011,0.083,-0.113,0.139,0.001,0.003,4825.0,3039.0,1.0
sigma,0.233,0.078,0.12,0.348,0.002,0.002,1347.0,2998.0,1.0
sigma_smooth,0.067,0.052,0.001,0.141,0.002,0.001,1051.0,1556.0,1.0
sigma_year,0.355,0.172,0.086,0.636,0.005,0.003,1186.0,1607.0,1.0
year_raw[0],0.248,0.709,-0.857,1.478,0.01,0.009,4575.0,4824.0,1.0
year_raw[1],0.239,0.601,-0.726,1.241,0.009,0.009,4057.0,4121.0,1.0
year_raw[2],-0.899,0.76,-2.182,0.286,0.012,0.009,4020.0,4592.0,1.0
year_raw[3],-0.302,0.735,-1.499,0.876,0.011,0.01,4127.0,4230.0,1.0
year_raw[4],0.46,0.811,-0.904,1.728,0.011,0.011,5179.0,5481.0,1.0
year_raw[5],-0.3,0.721,-1.506,0.823,0.011,0.009,4104.0,4843.0,1.0
year_raw[6],1.198,0.794,-0.021,2.556,0.014,0.011,3301.0,3564.0,1.0
year_raw[7],-0.711,0.782,-2.006,0.538,0.015,0.01,2891.0,3709.0,1.0
year_re[2016],0.097,0.243,-0.291,0.504,0.004,0.003,3603.0,4431.0,1.0
year_re[2017],0.075,0.192,-0.229,0.394,0.003,0.002,3740.0,5078.0,1.0
year_re[2018],-0.297,0.257,-0.716,0.102,0.004,0.003,3406.0,5591.0,1.0
year_re[2019],-0.085,0.237,-0.465,0.314,0.004,0.003,3894.0,4276.0,1.0
year_re[2021],0.14,0.276,-0.292,0.595,0.004,0.004,5380.0,5208.0,1.0
year_re[2022],-0.121,0.255,-0.54,0.285,0.005,0.004,3229.0,4442.0,1.0
year_re[2023],0.435,0.326,-0.063,0.945,0.008,0.004,1507.0,3230.0,1.0
year_re[2024],-0.278,0.311,-0.747,0.208,0.007,0.005,1851.0,3496.0,1.0
