,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.151,-0.249,0.241,0.003,0.002,3217.0,3425.0,1.0
beta0,-0.026,0.078,-0.157,0.099,0.001,0.001,3664.0,4576.0,1.0
beta1,0.007,0.057,-0.083,0.101,0.001,0.001,3171.0,3912.0,1.0
beta_coefs[0],-0.026,0.078,-0.157,0.099,0.001,0.001,3664.0,4576.0,1.0
beta_coefs[1],0.007,0.057,-0.083,0.101,0.001,0.001,3171.0,3912.0,1.0
beta_coefs[2],0.034,0.053,-0.054,0.122,0.001,0.001,4323.0,5003.0,1.0
beta_coefs[3],0.066,0.06,-0.033,0.163,0.001,0.001,5028.0,5393.0,1.0
beta_coefs[4],0.113,0.094,-0.037,0.27,0.001,0.001,5188.0,5158.0,1.0
lag_coef,-0.471,0.271,-0.916,-0.039,0.005,0.003,2524.0,4542.0,1.0
rw2_innovations[0],-0.006,0.084,-0.146,0.122,0.001,0.003,4857.0,2772.0,1.0
rw2_innovations[1],0.006,0.071,-0.106,0.127,0.001,0.002,5499.0,3878.0,1.0
rw2_innovations[2],0.015,0.082,-0.101,0.16,0.001,0.002,5128.0,3526.0,1.0
sigma,0.215,0.069,0.117,0.319,0.002,0.002,1447.0,2329.0,1.0
sigma_smooth,0.069,0.054,0.002,0.144,0.001,0.001,973.0,1538.0,1.0
sigma_year,0.435,0.158,0.187,0.683,0.004,0.002,1445.0,1810.0,1.0
year_raw[0],0.101,0.626,-0.95,1.099,0.009,0.008,4337.0,4543.0,1.0
year_raw[1],0.151,0.512,-0.691,0.96,0.008,0.008,3920.0,4502.0,1.0
year_raw[2],-1.162,0.703,-2.282,-0.011,0.011,0.009,3899.0,4786.0,1.0
year_raw[3],-0.015,0.628,-1.001,1.082,0.01,0.008,3898.0,4321.0,1.0
year_raw[4],1.045,0.734,-0.135,2.252,0.012,0.01,3904.0,4343.0,1.0
year_raw[5],0.313,0.762,-0.96,1.521,0.011,0.009,4972.0,5241.0,1.0
year_raw[6],-0.614,0.626,-1.664,0.376,0.01,0.009,3710.0,3891.0,1.0
year_raw[7],1.075,0.673,0.002,2.185,0.011,0.009,3565.0,3798.0,1.0
year_raw[8],-0.911,0.657,-2.066,0.062,0.011,0.009,3570.0,4222.0,1.0
year_re[2016],0.049,0.259,-0.387,0.459,0.004,0.003,4063.0,4965.0,1.0
year_re[2017],0.056,0.206,-0.295,0.369,0.003,0.003,3922.0,5181.0,1.0
year_re[2018],-0.464,0.263,-0.863,0.011,0.004,0.003,3785.0,3606.0,1.0
year_re[2019],-0.009,0.26,-0.43,0.421,0.004,0.003,3726.0,4882.0,1.0
year_re[2020],0.44,0.313,-0.047,0.965,0.006,0.004,2957.0,4641.0,1.0
year_re[2021],0.114,0.315,-0.381,0.651,0.004,0.004,5003.0,5603.0,1.0
year_re[2022],-0.263,0.267,-0.697,0.169,0.005,0.003,2975.0,4276.0,1.0
year_re[2023],0.464,0.307,-0.04,0.946,0.006,0.004,2329.0,3990.0,1.0
year_re[2024],-0.399,0.3,-0.887,0.077,0.006,0.004,2409.0,4333.0,1.0
