cohort,predictor,base_temp,tau_gdd,basis_k,year_re_mode,window_shift_gdd,stem,delta_median,delta_q_lo,delta_q_hi,prob_delta_gt_0,delta_sign_flip_vs_baseline,prob_lt_0p7
arbequina,vpd,10.0,45.0,5,no_year,-50,numpyro_main_arbequina_vpd_noyearre_sens_tb10p0_tau45p0_k5_no_year,-3.266655941544195e-05,-0.0005395772233981,0.0005310785193416,0.462875,True,True
arbequina,vpd,10.0,45.0,5,no_year,0,numpyro_main_arbequina_vpd_noyearre_sens_tb10p0_tau45p0_k5_no_year,-6.845378468932307e-05,-0.0004872253429589,0.0003790644459504,0.397625,True,True
arbequina,vpd,10.0,45.0,5,no_year,50,numpyro_main_arbequina_vpd_noyearre_sens_tb10p0_tau45p0_k5_no_year,-9.755511635097124e-05,-0.0004596375970326,0.0002683132632709,0.32225,True,True
arbequina,vpd,10.0,45.0,5,with_year,-50,numpyro_main_arbequina_vpd_sens_tb10p0_tau45p0_k5_with_year,-0.000204437838356,-0.0006563063107827,0.000191253924589,0.19575,True,True
arbequina,vpd,10.0,45.0,5,with_year,0,numpyro_main_arbequina_vpd_sens_tb10p0_tau45p0_k5_with_year,-0.0001768109645329,-0.0005539063992724,0.0001534387586555,0.186125,True,True
arbequina,vpd,10.0,45.0,5,with_year,50,numpyro_main_arbequina_vpd_sens_tb10p0_tau45p0_k5_with_year,-0.0001524880673234,-0.0004733092757096,0.0001263385527302,0.1785,True,True
arbequina,wd_state,6.5,45.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb6p5_tau45p0_k5_with_year,-2.5396845541788765e-05,-0.0001498330497019,7.797200967718034e-05,0.343875,True,True
arbequina,wd_state,6.5,45.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb6p5_tau45p0_k5_with_year,-1.7146214597028158e-05,-0.0001244908465078,7.655872108066203e-05,0.383125,True,True
arbequina,wd_state,6.5,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb6p5_tau45p0_k5_with_year,-9.540031580081486e-06,-0.0001030030712078,7.779979163686513e-05,0.4275,True,True
arbequina,wd_state,7.0,45.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb7p0_tau45p0_k5_with_year,-4.76504920342177e-05,-0.0001844175303816,9.263906242873786e-05,0.277,True,True
arbequina,wd_state,7.0,45.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb7p0_tau45p0_k5_with_year,-1.6813757578566153e-05,-0.000146588605517,0.0001236624589507,0.412875,True,True
arbequina,wd_state,7.0,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb7p0_tau45p0_k5_with_year,1.0250621801657993e-05,-0.0001130861665761,0.0001555542365657,0.55475,False,True
arbequina,wd_state,8.5,45.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb8p5_tau45p0_k5_with_year,6.217943140890108e-05,-6.862034273126962e-05,0.0001806363922577,0.797875,False,False
arbequina,wd_state,8.5,45.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb8p5_tau45p0_k5_with_year,6.544973830607367e-05,-4.825795897785898e-05,0.000176391530268,0.839875,False,False
arbequina,wd_state,8.5,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb8p5_tau45p0_k5_with_year,6.850243388738188e-05,-3.158641433397492e-05,0.0001769941719828,0.873625,False,False
arbequina,wd_state,10.0,15.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau15p0_k5_with_year,9.638221842683856e-05,-6.318190065322441e-06,0.0002291674255851,0.938625,False,False
