tau,model,cohort,beta_S_pre,se_S_pre,ci_lo_S_pre,ci_hi_S_pre,r2,n_obs
15.0,ols,arbequina,0.17120219954000915,0.05362160758114589,0.06610384868096321,0.2763005503990551,0.2139916810176019,90
20.0,ols,arbequina,0.18188292982970766,0.048135979782590134,0.08753640945583101,0.2762294502035843,0.23488501993712274,90
25.0,ols,arbequina,0.18848340355182194,0.04409686818544988,0.10205354190834018,0.2749132651953037,0.24841882196498744,90
30.0,ols,arbequina,0.19295602108458365,0.041410458072759546,0.11179152326197495,0.27412051890719236,0.256455292107138,90
35.0,ols,arbequina,0.19655815077218164,0.03975161573561274,0.11864498393038067,0.2744713176139826,0.260899992416346,90
40.0,ols,arbequina,0.19999427600200004,0.03889802415382982,0.12375414866049358,0.27623440334350646,0.2631720245656468,90
45.0,ols,arbequina,0.20362118991276779,0.03876191055932295,0.1276478452164948,0.27959453460904077,0.2641830997358974,90
50.0,ols,arbequina,0.20760216015711924,0.03932905579935993,0.1305172107903738,0.28468710952386467,0.2644801331284097,90
55.0,ols,arbequina,0.2119987976075297,0.040602110483038883,0.1324186610607735,0.29157893415428593,0.26438170868807387,90
60.0,ols,arbequina,0.21682112126482125,0.042568923127484934,0.1333860319349508,0.3002562105946917,0.2640714381119885,90
65.0,ols,arbequina,0.22205399549064236,0.04519299910919878,0.13347571723661275,0.31063227374467195,0.2636548032714585,90
70.0,ols,arbequina,0.22767095539424226,0.04841772420875078,0.13277221594509073,0.3225696948433938,0.2631922378491117,90
75.0,ols,arbequina,0.23364139159622482,0.05217584362529132,0.13137673809065384,0.3359060451017958,0.26271810736215895,90
80.0,ols,arbequina,0.23993422834227135,0.056398384310443916,0.12939339509380127,0.35047506159074143,0.2622516011354734,90
85.0,ols,arbequina,0.24651973710631508,0.06102062438498496,0.12691931331174455,0.3661201609008856,0.2618030265104654,90
90.0,ols,arbequina,0.2533703548722046,0.06598506104746213,0.12403963521917882,0.3827010745252304,0.26137748121425664,90
